COUNTY DEM OTH REP
COUNTY Kerry_D Other_O Bush_R
"DISTRICT 1" 3662 452 6303
"DISTRICT 10" 3670 335 6745
"DISTRICT 11" 3364 381 9280
"DISTRICT 12" 3387 350 8108
"DISTRICT 13" 4819 491 10702
"DISTRICT 14" 4403 428 10717
"DISTRICT 15" 4766 576 10058
"DISTRICT 16" 4791 462 10587
"DISTRICT 17" 4646 373 10491
"DISTRICT 18" 4193 270 8424
"DISTRICT 19" 5061 383 8014
"DISTRICT 2" 4961 498 5943
"DISTRICT 20" 4465 383 6632
"DISTRICT 21" 5488 365 8818
"DISTRICT 22" 5426 402 7207
"DISTRICT 23" 5991 418 6576
"DISTRICT 24" 5226 403 7622
"DISTRICT 25" 5435 451 6892
"DISTRICT 26" 6476 430 7776
"DISTRICT 27" 5212 400 8500
"DISTRICT 28" 5141 363 9073
"DISTRICT 29" 4546 341 7743
"DISTRICT 3" 6513 445 4790
"DISTRICT 30" 5181 359 8733
"DISTRICT 31" 5315 350 9605
"DISTRICT 32" 6580 447 9783
"DISTRICT 33" 3192 402 7344
"DISTRICT 34" 3033 434 7886
"DISTRICT 35" 5030 534 6007
"DISTRICT 36" 3245 351 5645
"DISTRICT 37" 1970 192 3046
"DISTRICT 38" 2366 250 2459
"DISTRICT 39" 2365 322 2881
"DISTRICT 4" 4768 417 5802
"DISTRICT 40" 2328 243 3217
"DISTRICT 5" 4679 491 5439
"DISTRICT 6" 3728 405 6177
"DISTRICT 7" 5008 520 7693
"DISTRICT 8" 5758 569 6615
"DISTRICT 9" 4177 375 6934
"DISTRICT 99" 0 0 0
