COUNTY DEM GRN LIB OTH REP
COUNTY Biden_D Other_G Jorgensen_L Other_O Trump_R
"DISTRICT 1" 3477 50 216 60 3511
"DISTRICT 10" 2727 64 286 47 8081
"DISTRICT 11" 3130 88 269 45 7096
"DISTRICT 12" 2957 54 288 46 7893
"DISTRICT 13" 2666 40 308 47 4652
"DISTRICT 14" 4261 50 356 62 6714
"DISTRICT 15" 2622 36 197 33 2671
"DISTRICT 16" 4274 64 210 54 3516
"DISTRICT 17" 4136 64 184 45 2810
"DISTRICT 18" 4681 79 157 43 2760
"DISTRICT 19" 3118 52 110 46 1975
"DISTRICT 2" 2104 30 287 41 3674
"DISTRICT 20" 4881 53 153 27 2383
"DISTRICT 21" 5414 70 203 52 3690
"DISTRICT 22" 4553 46 200 37 4684
"DISTRICT 23" 3810 53 170 51 3655
"DISTRICT 24" 4736 46 222 46 5378
"DISTRICT 25" 4600 67 201 50 4407
"DISTRICT 26" 4558 55 207 48 5243
"DISTRICT 27" 4844 59 228 51 4324
"DISTRICT 28" 6264 69 219 35 6162
"DISTRICT 29" 2985 69 190 39 7464
"DISTRICT 3" 1903 42 316 48 6076
"DISTRICT 30" 2638 42 270 46 7180
"DISTRICT 31" 5037 100 250 52 6971
"DISTRICT 32" 3506 105 238 46 4440
"DISTRICT 33" 7535 103 197 61 3059
"DISTRICT 34" 5763 68 279 76 4543
"DISTRICT 35" 5011 95 170 57 4769
"DISTRICT 36" 3796 79 245 58 5114
"DISTRICT 37" 2560 56 86 82 2358
"DISTRICT 38" 3202 112 105 143 1737
"DISTRICT 39" 3580 104 123 145 1939
"DISTRICT 4" 5345 93 323 60 4690
"DISTRICT 40" 2318 86 94 111 1994
"DISTRICT 5" 4204 68 259 46 4077
"DISTRICT 6" 3272 83 266 69 5770
"DISTRICT 7" 2215 54 272 54 7027
"DISTRICT 8" 1953 48 241 52 7618
"DISTRICT 9" 2769 77 301 59 7787
"DISTRICT 99" 373 0 1 0 59
