COUNTY DEM GRN OTH REP
COUNTY Gore_D Nader_G Other_O Bush_R
AUTAUGA 4942 160 113 11993
BALDWIN 13997 1033 578 40872
BARBOUR 5188 46 65 5096
BIBB 2710 52 66 4273
BLOUNT 4977 154 175 12667
BULLOCK 3395 24 52 1433
BUTLER 3606 36 34 4127
CALHOUN 15781 481 341 22306
CHAMBERS 5616 95 86 6037
CHEROKEE 3497 77 95 4154
CHILTON 4806 92 128 10066
CHOCTAW 3707 33 34 3600
CLARKE 4679 33 52 5988
CLAY 2045 52 67 3719
CLEBURNE 1664 39 56 3333
COFFEE 5220 155 121 9938
COLBERT 10543 208 263 10518
CONECUH 2783 35 34 2699
COOSA 2104 34 47 2382
COVINGTON 4440 123 89 8961
CRENSHAW 1934 40 28 2793
CULLMAN 9758 282 328 19157
DALE 4906 188 119 10593
DALLAS 10967 63 74 7360
DEKALB 7056 175 227 12827
ELMORE 6652 212 163 16777
ESCAMBIA 4523 78 84 6975
ETOWAH 17433 435 393 21087
FAYETTE 3064 60 102 4582
FRANKLIN 4793 72 119 6119
GENEVA 2769 97 105 6588
GREENE 3504 24 18 850
HALE 4652 43 52 2984
HENRY 2782 48 48 4054
HOUSTON 9412 257 238 22150
JACKSON 9066 184 181 8475
JEFFERSON 129889 3393 1990 138491
LAMAR 2653 57 69 4470
LAUDERDALE 13875 354 430 17478
LAWRENCE 6296 63 155 5671
LEE 14574 895 362 22433
LIMESTONE 8992 193 245 14204
LOWNDES 4557 18 30 1638
MACON 7665 31 44 1091
MADISON 48199 1885 1083 62151
MARENGO 4841 40 37 4690
MARION 4600 125 121 6910
MARSHALL 10381 256 268 17084
MOBILE 58640 1585 1358 78162
MONROE 3741 25 32 5153
MONTGOMERY 40371 677 453 38827
MORGAN 16060 450 397 25774
PERRY 4020 18 17 1732
PICKENS 4143 39 52 4306
PIKE 4357 75 54 6058
RANDOLPH 3094 60 99 4666
RUSSELL 8396 109 72 6198
SHELBY 13183 812 482 47651
"ST. CLAIR" 6485 221 267 17117
SUMTER 4415 20 24 1629
TALLADEGA 11264 184 196 13807
TALLAPOOSA 6183 153 112 9805
TUSCALOOSA 24614 1007 490 34003
WALKER 11621 264 270 13486
WASHINGTON 3386 26 67 4117
WILCOX 3444 6 15 1661
WINSTON 2692 88 125 6413
