COUNTY DEM OTH REP
COUNTY Clinton_D Other_O Trump_R
AUTAUGA 5936 865 18172
BALDWIN 18458 3874 72883
BARBOUR 4871 144 5454
BIBB 1874 207 6738
BLOUNT 2156 573 22859
BULLOCK 3530 40 1140
BUTLER 3726 105 4901
CALHOUN 13242 1757 32865
CHAMBERS 5784 273 7843
CHEROKEE 1547 233 8953
CHILTON 2911 377 15081
CHOCTAW 3109 77 4106
CLARKE 5749 142 7140
CLAY 1237 142 5245
CLEBURNE 684 145 5764
COFFEE 4221 671 15875
COLBERT 7312 857 16746
CONECUH 3080 85 3420
COOSA 1782 89 3381
COVINGTON 2387 286 13267
CRENSHAW 1664 90 4513
CULLMAN 3798 1086 32989
DALE 4413 528 13808
DALLAS 12836 167 5789
DEKALB 3622 799 21405
ELMORE 8443 1183 27634
ESCAMBIA 4605 305 9935
ETOWAH 10442 1369 32353
FAYETTE 1362 175 6712
FRANKLIN 2197 377 9466
GENEVA 1525 239 9994
GREENE 4013 29 838
HALE 4775 92 3173
HENRY 2292 148 5632
HOUSTON 10664 1247 30728
JACKSON 3673 639 16672
JEFFERSON 156873 12550 134768
LAMAR 1036 107 5823
LAUDERDALE 9952 1674 27899
LAWRENCE 3627 369 10833
LEE 21230 3344 34617
LIMESTONE 9468 1759 29067
LOWNDES 4883 50 1751
MACON 7566 143 1431
MADISON 62822 11047 89520
MARENGO 5615 146 5233
MARION 1432 278 11274
MARSHALL 4917 1166 29233
MOBILE 72186 5435 95116
MONROE 4332 144 5795
MONTGOMERY 58916 2959 34003
MORGAN 11254 1904 37486
PERRY 3824 47 1407
PICKENS 3972 114 5456
PIKE 5056 419 7693
RANDOLPH 2291 191 7705
RUSSELL 9579 467 9210
SHELBY 22977 5257 73020
"ST. CLAIR" 5589 1160 31651
SUMTER 4746 84 1581
TALLADEGA 12121 672 20614
TALLAPOOSA 5519 373 13594
TUSCALOOSA 31762 3215 47723
WALKER 4497 709 24266
WASHINGTON 2374 117 6042
WILCOX 4339 42 1737
WINSTON 872 213 9228
