COUNTY DEM GRN OTH REP
COUNTY Gore_D Nader_G Other_O Bush_R
ARKANSAS 2877 65 77 3353
ASHLEY 4253 61 81 3876
BAXTER 6516 429 225 9538
BENTON 17277 862 669 34838
BOONE 4493 289 284 8569
BRADLEY 2122 34 30 1793
CALHOUN 1017 19 21 1128
CARROLL 3595 301 138 5556
CHICOT 2820 26 42 1564
CLARK 4661 103 86 3776
CLAY 3527 73 46 2254
CLEBURNE 4120 183 174 5730
CLEVELAND 1414 30 59 1678
COLUMBIA 4003 70 216 5018
CONWAY 3496 84 109 3545
CRAIGHEAD 12376 409 214 12158
CRAWFORD 6288 223 310 10804
CRITTENDEN 7224 97 56 5857
CROSS 3096 38 48 3033
DALLAS 1710 21 23 1571
DESHA 2776 38 78 1603
DREW 3060 47 59 2756
FAULKNER 11950 513 698 16055
FRANKLIN 2674 100 89 3277
FULTON 1976 51 45 2036
GARLAND 15840 566 431 19098
GRANT 2535 88 105 3285
GREENE 6319 205 129 5831
HEMPSTEAD 3937 50 45 3257
"HOT SPRING" 5527 202 210 5042
HOWARD 2063 50 20 2326
INDEPENDENCE 5146 171 132 6145
IZARD 2587 76 68 2301
JACKSON 3651 77 64 2280
JEFFERSON 17716 361 359 8765
JOHNSON 3270 109 125 3657
LAFAYETTE 1806 27 12 1538
LAWRENCE 3255 87 72 2626
LEE 2727 18 25 1351
LINCOLN 1957 21 42 1526
"LITTLE RIVER" 2883 50 47 2283
LOGAN 3283 124 202 4487
LONOKE 6851 237 249 10606
MADISON 2055 88 98 3387
MARION 2233 220 160 3402
MILLER 6278 100 91 7276
MISSISSIPPI 7107 110 170 5199
MONROE 1910 29 25 1329
MONTGOMERY 1438 101 72 2128
NEVADA 1867 42 33 1796
NEWTON 1205 112 81 2529
OUACHITA 5464 100 92 4739
PERRY 1648 61 184 2114
PHILLIPS 6018 75 66 3154
PIKE 1604 45 47 2275
POINSETT 4102 87 58 2988
POLK 2315 130 148 4600
POPE 6669 259 250 11244
PRAIRIE 1563 29 53 1862
PULASKI 68320 1756 1209 55866
RANDOLPH 3019 84 101 2673
SALINE 12700 533 541 18617
SCOTT 1444 48 90 2399
SEARCY 1229 83 136 2610
SEBASTIAN 15555 503 618 23483
SEVIER 2095 55 32 2111
SHARP 3236 115 77 3698
"ST. FRANCIS" 4986 42 54 3414
STONE 2043 98 96 2623
UNION 6261 130 571 8647
"VAN BUREN" 3202 153 144 3485
WASHINGTON 21425 1208 595 28231
WHITE 8342 243 395 13170
WOODRUFF 1699 19 35 898
YELL 3062 78 116 3223
