COUNTY DEM OTH REP
COUNTY Obama_D Other_O Romney_R
ARKANSAS 2455 142 3897
ASHLEY 2859 195 4867
BAXTER 5172 479 13688
BENTON 22636 1975 54646
BOONE 3772 460 11159
BRADLEY 1449 69 2134
CALHOUN 660 56 1458
CARROLL 3696 362 6125
CHICOT 2649 42 1670
CLARK 3811 255 4343
CLAY 1738 147 3225
CLEBURNE 2620 334 8693
CLEVELAND 845 108 2313
COLUMBIA 3557 108 5790
CONWAY 3005 211 4514
CRAIGHEAD 10527 823 20350
CRAWFORD 4881 565 15145
CRITTENDEN 9487 231 6998
CROSS 2279 133 4269
DALLAS 1337 82 1665
DESHA 2443 81 1896
DREW 2630 116 3887
FAULKNER 13621 1117 26722
FRANKLIN 1726 183 4631
FULTON 1452 121 2949
GARLAND 13804 910 26014
GRANT 1468 182 4829
GREENE 4000 690 9071
HEMPSTEAD 2468 169 4284
"HOT SPRING" 3830 333 7097
HOWARD 1471 99 2892
INDEPENDENCE 3281 388 8728
IZARD 1524 179 3575
JACKSON 2095 180 3072
JEFFERSON 17470 393 9520
JOHNSON 2799 235 5064
LAFAYETTE 1173 43 1713
LAWRENCE 1788 216 3536
LEE 2107 37 1280
LINCOLN 1425 102 2199
"LITTLE RIVER" 1552 114 3385
LOGAN 2009 243 5079
LONOKE 5625 609 17880
MADISON 2099 206 4263
MARION 2037 240 4774
MILLER 4518 189 10622
MISSISSIPPI 6467 305 6603
MONROE 1583 62 1585
MONTGOMERY 920 115 2369
NEVADA 1314 74 1996
NEWTON 993 160 2508
OUACHITA 4633 161 5521
PERRY 1187 170 2581
PHILLIPS 5202 130 2598
PIKE 851 90 2847
POINSETT 2390 196 4974
POLK 1556 215 5955
POPE 5126 550 14763
PRAIRIE 880 108 2153
PULASKI 87248 3149 68984
RANDOLPH 2046 209 3701
SALINE 12869 1230 32963
SCOTT 897 112 2631
SEARCY 814 181 2699
SEBASTIAN 13092 1101 29169
SEVIER 1042 152 3136
SHARP 2092 270 4921
"ST. FRANCIS" 4910 84 3368
STONE 1356 222 3776
UNION 6196 282 10699
"VAN BUREN" 1832 233 4365
WASHINGTON 28236 2536 39688
WHITE 5765 738 20011
WOODRUFF 1340 118 1227
YELL 1722 210 4042
