COUNTY DEM GRN LIB OTH REP
COUNTY Biden_D Other_G Jorgensen_L Other_O Trump_R
ARKANSAS 1818 16 46 108 4304
ASHLEY 2125 9 25 219 5548
BAXTER 4635 43 183 310 15836
BENTON 42249 277 1972 1449 73965
BOONE 3064 55 153 190 13652
BRADLEY 1214 4 33 68 2335
CALHOUN 479 8 16 43 1636
CARROLL 4023 48 100 202 7424
CHICOT 2260 5 17 69 1752
CLARK 3438 48 79 214 4616
CLAY 962 11 53 71 4086
CLEBURNE 1988 10 105 249 10328
CLEVELAND 651 8 27 47 2867
COLUMBIA 2814 71 53 178 5500
CONWAY 2615 18 78 280 5694
CRAIGHEAD 11921 121 440 471 25558
CRAWFORD 4959 35 274 216 18607
CRITTENDEN 8514 29 112 379 7333
CROSS 1772 8 48 168 4946
DALLAS 963 3 14 96 1573
DESHA 2016 10 18 199 1921
DREW 2426 21 27 85 4349
FAULKNER 18347 159 840 661 34421
FRANKLIN 1300 9 67 76 5677
FULTON 1035 4 38 81 3961
GARLAND 14045 102 396 587 29069
GRANT 1268 8 56 74 6794
GREENE 3058 33 188 151 12670
HEMPSTEAD 2138 24 31 185 4470
"HOT SPRING" 3082 16 93 164 9202
HOWARD 1340 11 27 89 3367
INDEPENDENCE 2806 23 147 286 11250
IZARD 1021 4 55 99 4631
JACKSON 1365 5 37 91 3593
JEFFERSON 14981 26 106 524 9521
JOHNSON 2283 25 97 155 6938
LAFAYETTE 839 5 9 69 1757
LAWRENCE 1080 8 52 148 4569
LEE 1423 7 8 124 1286
LINCOLN 1032 20 21 73 2729
"LITTLE RIVER" 1226 7 44 185 3715
LOGAN 1544 16 88 136 6441
LONOKE 6686 72 403 617 22884
MADISON 1563 19 54 57 5658
MARION 1531 19 65 105 5783
MILLER 4245 41 101 222 11920
MISSISSIPPI 4558 24 120 344 7296
MONROE 1147 33 12 79 1545
MONTGOMERY 731 7 26 63 3046
NEVADA 1076 26 8 115 2133
NEWTON 709 11 23 63 3192
OUACHITA 3995 59 79 202 5294
PERRY 1012 20 35 81 3479
PHILLIPS 3623 16 15 171 2417
PIKE 644 4 41 38 3519
POINSETT 1424 10 40 129 5918
POLK 1246 10 83 116 7035
POPE 5772 54 240 285 18081
PRAIRIE 654 3 16 36 2786
PULASKI 101947 440 1668 2214 63687
RANDOLPH 1215 10 55 177 5355
SALINE 16060 118 595 630 39556
SCOTT 483 5 31 70 2962
SEARCY 588 4 30 32 3365
SEBASTIAN 14487 98 804 553 31198
SEVIER 1116 10 55 137 3884
SHARP 1398 29 52 149 5938
"ST. FRANCIS" 3604 21 37 204 3242
STONE 1180 19 47 76 4616
UNION 5584 36 182 327 10478
"VAN BUREN" 1593 19 54 107 6034
WASHINGTON 43824 313 1414 1211 47504
WHITE 5978 40 395 290 24182
WOODRUFF 856 6 14 57 1543
YELL 1284 14 66 151 5226
