COUNTY DEM GRN LIB OTH REP
COUNTY Biden_D Other_G Jorgensen_L Other_O Trump_R
APACHE 23293 0 437 0 11442
COCHISE 23732 0 1153 0 35557
COCONINO 44698 0 1522 0 27052
GILA 8943 0 342 0 18377
GRAHAM 4034 0 212 0 10749
GREENLEE 1182 0 70 0 2433
"LA PAZ" 2236 0 93 0 5129
MARICOPA 1040774 0 31705 0 995665
MOHAVE 24831 0 1302 0 78535
"NAVAJO" 23383 0 727 0 27657
PIMA 304981 0 7658 0 207758
PINAL 75106 0 2791 0 107077
"SANTA CRUZ" 13138 0 224 0 6194
YAVAPAI 49602 0 2092 0 91527
YUMA 32210 0 1137 0 36534
