COUNTY DEM OTH REP
COUNTY Kerry_D Other_O Bush_R
ALAMEDA 422585 7246 130911
ALPINE 373 15 311
AMADOR 6211 189 10479
BUTTE 42448 1625 51662
CALAVERAS 8286 419 13601
COLUSA 1947 77 4142
"CONTRA COSTA" 257254 4277 150608
"DEL NORTE" 3892 173 5356
"EL DORADO" 32242 1158 52878
FRESNO 103154 2018 141988
GLENN 2995 132 6308
HUMBOLDT 37988 1808 25714
IMPERIAL 13955 319 11628
INYO 3021 138 4559
KERN 68603 1838 140417
KINGS 10833 257 21003
LAKE 9679 302 8185
LASSEN 3158 153 8126
"LOS ANGELES" 1907736 37686 1076225
MADERA 13481 428 24871
MARIN 99070 1471 34378
MARIPOSA 3251 172 5215
MENDOCINO 24385 839 12955
MERCED 24491 681 32773
MODOC 1149 72 3235
MONO 2628 81 2621
MONTEREY 75241 1465 47838
"NAPA" 33666 740 22059
NEVADA 24220 729 28790
ORANGE 419239 12225 641832
PLACER 55573 1403 95969
PLUMAS 4129 144 6905
RIVERSIDE 228806 5603 322473
SACRAMENTO 236657 4569 235539
"SAN BENITO" 9851 176 8698
"SAN BERNARDINO" 227789 5682 289306
"SAN DIEGO" 526437 11114 596033
"SAN FRANCISCO" 296772 4802 54355
"SAN JOAQUIN" 87012 1515 100978
"SAN LUIS OBISPO" 58742 1910 67995
"SAN MATEO" 197922 2840 83315
"SANTA BARBARA" 90314 2005 76806
"SANTA CLARA" 386100 7420 209094
"SANTA CRUZ" 89102 2277 30354
SHASTA 24339 983 52249
SIERRA 646 50 1249
SISKIYOU 7880 310 12673
SOLANO 85096 1349 62301
SONOMA 148261 3612 68204
STANISLAUS 58829 1278 85407
SUTTER 9602 289 20254
TEHAMA 7504 329 15572
TRINITY 2782 137 3560
TULARE 32494 846 65399
TUOLUMNE 10104 339 15745
VENTURA 148859 3736 160314
YOLO 42885 1119 28005
YUBA 5687 257 12076
