COUNTY DEM GRN LIB OTH REP
COUNTY Biden_D Other_G Jorgensen_L Other_O Trump_R
ALAMEDA 617659 4664 6295 5143 136309
ALPINE 476 4 15 2 244
AMADOR 8153 110 349 107 13585
BUTTE 50426 507 1774 629 48730
CALAVERAS 10046 125 359 116 16518
COLUSA 3239 25 81 57 4559
"CONTRA COSTA" 416386 2618 6116 3319 152877
"DEL NORTE" 4677 78 150 87 6461
"EL DORADO" 51621 460 1871 369 61838
FRESNO 193025 1474 4031 1923 164464
GLENN 3995 34 128 77 7063
HUMBOLDT 44768 625 1132 548 21770
IMPERIAL 34678 234 390 594 20847
INYO 4634 45 128 57 4620
KERN 133366 1074 3942 2426 164484
KINGS 18699 125 604 361 24072
LAKE 14941 207 374 167 13123
LASSEN 2799 31 141 46 8970
"LOS ANGELES" 3028885 21660 35452 32838 1145530
MADERA 23168 217 621 348 29378
MARIN 128288 724 1536 670 24612
MARIPOSA 4088 39 155 48 5950
MENDOCINO 28782 394 591 306 13267
MERCED 48991 388 941 837 39397
MODOC 1150 15 39 30 3109
MONO 4013 42 126 44 2513
MONTEREY 113953 749 1820 1102 46299
"NAPA" 49817 310 914 433 20676
NEVADA 36359 345 919 348 26779
ORANGE 814009 5819 17325 8462 676498
PLACER 106869 779 3948 1000 122488
PLUMAS 4561 39 153 62 6445
RIVERSIDE 528340 3372 9970 6330 449144
SACRAMENTO 440808 3254 9770 5203 259405
"SAN BENITO" 17628 91 345 176 10590
"SAN BERNARDINO" 455859 3619 8791 6604 366257
"SAN DIEGO" 964650 7421 21386 8592 600094
"SAN FRANCISCO" 378156 2781 3299 2900 56417
"SAN JOAQUIN" 161137 1064 2929 2264 121098
"SAN LUIS OBISPO" 88310 794 2408 766 67436
"SAN MATEO" 291496 1595 3554 2022 75584
"SANTA BARBARA" 129963 939 2416 1285 65736
"SANTA CLARA" 617967 4040 9131 4991 214612
"SANTA CRUZ" 114246 1062 1704 888 26937
SHASTA 30000 368 1277 496 60789
SIERRA 730 13 27 19 1142
SISKIYOU 9593 116 318 155 13290
SOLANO 131639 958 2475 1499 69306
SONOMA 199938 1499 3418 1637 61825
STANISLAUS 105841 742 2494 1732 104145
SUTTER 17367 136 521 245 24375
TEHAMA 8911 90 403 186 19141
TRINITY 2851 50 117 53 3188
TULARE 66105 483 1498 1220 77579
TUOLUMNE 11978 145 439 157 17689
VENTURA 251388 1766 5069 2395 162207
YOLO 67598 547 1206 651 27292
YUBA 11230 124 510 256 17676
