COUNTY DEM GRN OTH REP
COUNTY Gore_D Nader_G Other_O Bush_R
ADAMS 54132 4165 1994 47561
ALAMOSA 2455 265 82 2857
ARAPAHOE 82614 6952 2608 97768
ARCHULETA 1432 265 73 2988
BACA 531 47 37 1663
BENT 783 44 40 1096
BOULDER 69983 16498 2272 50873
CHAFFEE 2768 459 83 4300
CHEYENNE 209 22 24 957
"CLEAR CREEK" 2188 354 135 2247
CONEJOS 1749 79 71 1772
COSTILLA 1054 71 19 504
CROWLEY 511 28 51 855
CUSTER 507 100 53 1451
DELTA 3264 852 198 8372
DENVER 122693 11624 2806 61224
DOLORES 293 73 27 741
DOUGLAS 27076 2230 912 56007
EAGLE 6772 1045 206 7165
"EL PASO" 61799 7116 3548 128294
ELBERT 2326 292 196 6151
FREMONT 5293 516 333 9914
GARFIELD 6087 1608 306 9103
GILPIN 1099 276 84 1006
GRAND 2308 366 109 3570
GUNNISON 3059 927 122 3128
HINSDALE 188 51 11 316
HUERFANO 1495 169 44 1466
JACKSON 173 40 30 682
JEFFERSON 100970 10336 4047 120138
KIOWA 211 13 16 728
"KIT CARSON" 809 58 49 2542
"LA PLATA" 7864 2378 255 9993
LAKE 1296 213 63 1056
LARIMER 46055 8194 1859 62429
"LAS ANIMAS" 3243 199 83 2569
LINCOLN 510 27 32 1630
LOGAN 2296 140 129 5531
MESA 15465 2235 958 32396
MINERAL 168 19 5 294
MOFFAT 1223 169 105 3840
MONTEZUMA 2556 530 140 6158
MONTROSE 4041 656 252 9266
MORGAN 2885 211 180 5722
OTERO 2963 138 129 4082
OURAY 705 224 25 1279
PARK 2393 404 191 3677
PHILLIPS 564 48 35 1573
PITKIN 4137 1013 85 2565
PROWERS 1361 79 58 3026
PUEBLO 28888 1520 711 22827
"RIO BLANCO" 543 85 42 2185
"RIO GRANDE" 1707 179 78 3111
ROUTT 4208 820 138 4472
SAGUACHE 1145 261 45 1078
"SAN JUAN" 149 58 19 210
"SAN MIGUEL" 1598 560 54 1043
SEDGWICK 384 25 17 877
SUMMIT 5304 1131 136 4497
TELLER 2750 429 191 6477
WASHINGTON 477 50 40 1878
WELD 23436 2438 1258 37409
YUMA 1082 60 60 3156
