COUNTY DEM OTH REP
COUNTY Obama_D Other_O Mccain_R
ADAMS 93443 3080 63976
ALAMOSA 3521 130 2635
ARAPAHOE 148218 4064 113866
ARCHULETA 2836 151 3638
BACA 536 67 1572
BENT 799 44 1077
BOULDER 124159 2700 44904
BROOMFIELD 16168 528 12757
CHAFFEE 4861 186 4873
CHEYENNE 198 23 890
"CLEAR CREEK" 3332 135 2300
CONEJOS 2154 67 1653
COSTILLA 1245 37 415
CROWLEY 552 30 976
CUSTER 912 45 1672
DELTA 5084 283 10067
DENVER 204882 4084 62567
DOLORES 369 30 818
DOUGLAS 61960 1751 88108
EAGLE 13187 286 8179
"EL PASO" 108899 3958 160318
ELBERT 3819 279 9108
FREMONT 6844 407 12668
GARFIELD 11357 366 11359
GILPIN 1954 94 1253
GRAND 4037 143 4128
GUNNISON 5556 183 3131
HINSDALE 240 15 344
HUERFANO 1989 74 1580
JACKSON 277 12 624
JEFFERSON 158153 5282 131627
KIOWA 178 24 650
"KIT CARSON" 912 75 2455
"LA PLATA" 16057 419 11503
LAKE 1859 65 1078
LARIMER 89822 2910 73641
"LAS ANIMAS" 3562 113 3086
LINCOLN 546 41 1717
LOGAN 2846 129 6002
MESA 24008 1045 44578
MINERAL 270 19 334
MOFFAT 1582 154 4135
MONTEZUMA 4661 203 6961
MONTROSE 6495 459 12199
MORGAN 3813 149 6272
OTERO 3546 125 4393
OURAY 1636 57 1367
PARK 4250 237 4896
PHILLIPS 622 26 1612
PITKIN 7349 133 2484
PROWERS 1487 85 3043
PUEBLO 41097 1073 30257
"RIO BLANCO" 655 55 2437
"RIO GRANDE" 2448 66 2930
ROUTT 8270 204 4725
SAGUACHE 1730 64 953
"SAN JUAN" 264 14 218
"SAN MIGUEL" 3349 68 933
SEDGWICK 468 26 857
SUMMIT 9802 214 4883
TELLER 4513 247 8146
WASHINGTON 529 35 1949
WELD 47292 2048 56526
YUMA 1117 80 3286
