COUNTY REP DEM LPF NPA
COUNTY DeSantis Crist Roos Gimenez
Alachua 40321 54796 309 475
Baker 9594 1092 18 21
Bay 52590 14091 199 213
Bradford 8346 1852 23 46
Brevard 170562 95131 756 1004
Broward 251238 343286 1331 2752
Calhoun 4180 657 7 14
Charlotte 65357 27005 125 219
Citrus 56283 19100 167 276
Clay 67292 22187 279 361
Collier 117477 45815 214 253
Columbia 18790 4789 59 89
Desoto 6637 2023 11 30
Dixie 5394 735 14 36
Duval 182569 143837 1093 1820
Escambia 74608 40076 398 655
Flagler 39183 19177 142 194
Franklin 4003 1406 18 15
Gadsden 6511 10805 30 80
Gilchrist 6806 1017 18 27
Glades 3091 721 4 13
Gulf 5150 1247 10 18
Hamilton 3145 1120 11 17
Hardee 4558 949 10 19
Hendry 6134 2052 22 53
Hernando 56247 23700 181 287
Highlands 29518 9994 92 221
Hillsborough 261936 217349 1641 2588
Holmes 6214 533 24 11
"Indian River" 52269 24744 146 241
Jackson 12412 3835 27 52
Jefferson 4310 2776 14 27
Lafayette 2617 294 4 3
Lake 106578 52579 367 636
Lee 189335 84739 458 707
Leon 49244 67535 344 628
Levy 14049 3758 40 67
Liberty 2234 371 5 7
Madison 4661 2293 11 16
Manatee 111109 59801 355 465
Marion 108027 47129 358 536
Martin 53595 23748 140 184
Miami-Dade 393532 312972 1721 3626
Monroe 20479 13314 85 126
Nassau 36551 10973 115 125
Okaloosa 61715 18569 348 376
Okeechobee 8746 2079 18 43
Orange 187653 216221 1213 2143
Osceola 54330 47387 333 775
"Palm Beach" 278454 262655 941 1738
Pasco 148083 75342 645 910
Pinellas 231284 189563 1143 1504
Polk 148254 80172 561 1030
Putnam 20217 6196 78 102
"Santa Rosa" 60091 15096 240 271
Sarasota 133354 84614 386 543
Seminole 102191 79664 546 800
"St. Johns" 101066 42873 327 388
"St. Lucie" 72354 49009 199 431
Sumter 65496 23718 92 158
Suwannee 13649 2650 20 48
Taylor 6308 1276 18 20
Union 3995 544 9 10
Volusia 144768 79965 665 848
Wakulla 11033 3920 42 68
Walton 28647 6112 60 82
Washington 7786 1285 19 36
