COUNTY DEM GRN OTH REP
COUNTY Gore_D Nader_G Other_O Bush_R
ALACHUA 47365 3226 1014 34124
BAKER 2392 53 99 5610
BAY 18850 828 490 38637
BRADFORD 3075 84 100 5414
BREVARD 97318 4470 1422 115185
BROWARD 387703 7104 2434 177902
CALHOUN 2155 39 107 2873
CHARLOTTE 29645 1462 363 35426
CITRUS 25525 1379 535 29767
CLAY 14632 562 423 41736
COLLIER 29921 1400 391 60450
COLUMBIA 7047 258 239 10964
DESOTO 3320 157 84 4256
DIXIE 1826 75 68 2697
DUVAL 107864 2757 1917 152098
ESCAMBIA 40943 1727 961 73017
FLAGLER 13897 435 166 12613
FRANKLIN 2046 85 59 2454
GADSDEN 9735 139 86 4767
GILCHRIST 1910 97 88 3300
GLADES 1442 56 26 1841
GULF 2397 86 111 3550
HAMILTON 1722 37 59 2146
HARDEE 2339 75 54 3765
HENDRY 3240 104 48 4747
HERNANDO 32644 1501 428 30646
HIGHLANDS 14167 545 231 20206
HILLSBOROUGH 169557 7490 2488 180760
HOLMES 2177 94 113 5011
"INDIAN RIVER" 19768 950 269 28635
JACKSON 6868 138 156 9138
JEFFERSON 3041 76 49 2478
LAFAYETTE 789 26 20 1670
LAKE 36571 1460 570 50010
LEE 73560 3587 1089 106141
LEON 61427 1932 703 39062
LEVY 5398 284 184 6858
LIBERTY 1017 19 57 1317
MADISON 3014 54 56 3038
MANATEE 49177 2491 601 57952
MARION 44665 1809 1341 55141
MARTIN 26620 1118 305 33970
MIAMI-DADE 328808 5352 1756 289533
MONROE 16483 1090 264 16059
"NASSAU" 6952 253 171 16404
OKALOOSA 16948 985 654 52093
OKEECHOBEE 4588 131 77 5057
ORANGE 140220 3879 1509 134517
OSCEOLA 28181 732 534 26212
"PALM BEACH" 269732 5565 4938 152951
PASCO 69564 3393 1192 68582
PINELLAS 200630 10022 2995 184825
POLK 75200 2059 1053 90295
PUTNAM 12102 377 296 13447
"SANTA ROSA" 12802 724 519 36274
SARASOTA 72853 4069 920 83100
SEMINOLE 59174 1946 837 75677
"ST. JOHNS" 19502 1217 481 39546
"ST. LUCIE" 41559 1368 357 34705
SUMTER 9637 306 191 12127
SUWANNEE 4075 180 212 8006
TAYLOR 2649 59 44 4056
UNION 1407 33 54 2332
VOLUSIA 97304 2910 1083 82357
WAKULLA 3838 149 88 4512
WALTON 5642 265 229 12182
WASHINGTON 2798 93 144 4994
