COUNTY DEM OTH REP
COUNTY Obama_D Other_O Romney_R
ALACHUA 69699 1922 48797
BAKER 2311 82 8975
BAY 22051 934 56876
BRADFORD 3325 91 8219
BREVARD 122993 3266 159300
BROWARD 508312 4009 244101
CALHOUN 1664 122 4366
CHARLOTTE 35906 780 47996
CITRUS 28460 813 44662
CLAY 25759 808 70022
COLLIER 51698 894 96520
COLUMBIA 8462 272 18429
DESOTO 4174 104 5587
DIXIE 1798 91 5052
DUVAL 196737 3496 211615
ESCAMBIA 58185 1606 88711
FLAGLER 23207 419 26969
FRANKLIN 1845 59 3570
GADSDEN 15770 99 6630
GILCHRIST 1885 107 5917
GLADES 1603 42 2344
GULF 2014 99 4995
HAMILTON 2228 41 3138
HARDEE 2463 67 4696
HENDRY 4751 79 5355
HERNANDO 37830 899 44938
HIGHLANDS 16148 381 25915
HILLSBOROUGH 286467 5449 250186
HOLMES 1264 91 6919
"INDIAN RIVER" 27492 522 43450
JACKSON 7342 181 13418
JEFFERSON 3945 55 3808
LAFAYETTE 687 44 2668
LAKE 61799 1369 87643
LEE 110157 1846 154163
LEON 90881 1667 55805
LEVY 6119 226 12054
LIBERTY 942 41 2301
MADISON 4176 65 4474
MANATEE 66503 1361 85627
MARION 66831 1511 93043
MARTIN 30107 583 48183
MIAMI-DADE 541440 3893 332981
MONROE 19404 419 19234
"NASSAU" 10251 348 29929
OKALOOSA 23421 1209 70168
OKEECHOBEE 4856 140 7328
ORANGE 273665 4105 188589
OSCEOLA 67239 867 40592
"PALM BEACH" 349651 3672 247398
PASCO 98263 2883 112427
PINELLAS 239104 5340 213258
POLK 114622 2484 131577
PUTNAM 11667 331 19326
"SANTA ROSA" 17768 892 58186
SARASOTA 95119 1857 110504
SEMINOLE 96445 2232 109943
"ST. JOHNS" 35190 1092 78513
"ST. LUCIE" 65869 956 56202
SUMTER 19524 309 40646
SUWANNEE 4751 206 12672
TAYLOR 2764 107 6249
UNION 1339 74 3980
VOLUSIA 114748 2298 117490
WAKULLA 5175 195 9290
WALTON 6671 333 21490
WASHINGTON 2820 141 8038
