COUNTY DEM Jones Knepper Levinson REP Tolbert Weeks
COUNTY DEM Jones Knepper Levinson REP Tolbert Weeks
Alachua 74493 9 1 5 40599 2 3
Baker 1945 0 0 1 8579 0 0
Bay 16723 5 0 0 46681 0 2
Bradford 2879 0 1 0 7576 0 0
Brevard 121112 28 7 7 160305 3 11
Broward 472239 0 0 0 211397 0 0
Calhoun 1033 0 0 0 3586 0 0
Charlotte 33525 11 1 0 52916 0 4
Citrus 22660 5 1 2 48008 3 4
Clay 27718 6 1 2 65639 0 2
Collier 54390 4 0 0 101266 1 1
Columbia 7505 1 0 0 17234 4 1
Desoto 3328 0 0 0 5503 0 0
Dixie 1322 0 0 0 4442 0 0
Duval 192381 28 4 5 185904 3 5
Escambia 52891 6 3 1 75947 3 4
Flagler 21419 4 1 0 31467 3 3
Franklin 2011 0 0 0 3404 0 0
Gadsden 13945 1 0 0 6051 0 0
Gilchrist 1633 0 0 0 5703 0 0
Glades 1156 1 0 0 2666 0 0
Gulf 1580 0 0 0 4321 0 0
Hamilton 1671 0 0 0 2856 0 0
Hardee 1916 0 0 0 4455 0 0
Hendry 3542 0 0 0 5304 0 0
Hernando 30798 5 4 1 49501 3 1
Highlands 13398 2 0 0 26282 1 3
Hillsborough 281661 11 16 9 239641 20 16
Holmes 856 0 0 0 5919 0 0
"Indian River" 29195 10 0 1 44798 0 0
Jackson 5182 1 0 0 10791 0 0
Jefferson 3626 0 0 0 3699 0 2
Lafayette 623 0 0 0 2195 0 0
Lake 61402 7 3 0 93537 2 3
Lee 114857 18 6 4 174316 5 8
Leon 91097 11 5 5 48767 5 8
Levy 5319 3 0 0 11658 0 0
Liberty 632 0 0 0 2076 0 0
Madison 3425 0 0 0 4184 0 0
Manatee 68877 7 8 3 94390 2 8
Marion 59025 30 2 2 95592 0 10
Martin 30691 3 0 1 46733 2 6
Miami-Dade 485496 17 4 2 316020 0 8
Monroe 18051 2 1 0 18035 1 0
Nassau 11703 3 0 0 31795 0 0
Okaloosa 22902 9 1 0 60924 4 5
Okeechobee 3496 0 0 0 7727 0 1
Orange 294308 42 5 7 180763 8 8
Osceola 67123 3 1 2 47898 0 2
"Palm Beach" 344008 20 1 5 244850 3 7
Pasco 89447 20 3 5 121212 9 14
Pinellas 228712 58 14 16 205935 13 26
Polk 105748 21 6 6 138751 5 7
Putnam 9344 3 2 0 18689 0 0
"Santa Rosa" 19047 7 2 0 56374 0 1
Sarasota 96973 13 1 2 113585 3 16
Seminole 101504 15 3 2 97457 5 6
"St. Johns" 45638 1 1 5 85031 2 3
"St. Lucie" 63978 11 3 5 59612 5 10
Sumter 21678 2 0 0 52868 0 1
Suwannee 4044 2 0 0 11842 0 0
Taylor 2263 0 0 0 5638 0 0
Union 1197 0 0 0 3650 0 0
Volusia 102819 0 0 0 125762 0 0
Wakulla 4868 0 0 0 9322 0 0
Walton 7485 1 1 1 22776 1 0
Washington 1959 0 0 0 7101 0 0
