COUNTY REP DEM LIB OTHER OTHER OTHER
COUNTY REP DEM LIB OTHER OTHER OTHER
Alachua 39190 55359 439 349 285 34
Baker 9431 1181 43 31 6 0
Bay 51587 14512 300 254 193 0
Bradford 8156 1941 37 55 19 4
Brevard 165109 98839 1233 1074 629 111
Broward 238847 353264 2076 2081 1221 238
Calhoun 4063 698 13 40 12 1
Charlotte 63798 27737 253 451 138 31
Citrus 55033 19601 295 489 158 31
Clay 65939 23036 441 377 201 38
Collier 115983 46497 386 340 171 58
Columbia 18342 5066 93 103 45 9
DeSoto 6466 2097 27 51 15 3
Dixie 5224 826 21 52 10 0
Duval 177275 147520 1563 1267 955 173
Escambia 73166 40741 596 459 419 60
Flagler 37885 20177 204 191 86 15
Franklin 3882 1470 23 29 10 1
Gadsden 6072 11090 63 99 23 4
Gilchrist 6651 1084 40 47 14 6
Glades 3026 764 10 16 2 0
Gulf 5065 1295 19 24 12 1
Hamilton 3030 1213 18 15 4 0
Hardee 4465 971 23 30 8 1
Hendry 6000 2116 36 54 14 0
Hernando 54776 24271 352 462 213 0
Highlands 28715 10428 146 266 61 0
Hillsborough 253195 222090 2492 2342 1616 246
Holmes 6148 556 23 34 6 2
"Indian River" 50843 25586 267 297 133 24
Jackson 11998 3834 40 77 12 8
Jefferson 4137 2929 24 24 10 3
Lafayette 2519 348 11 22 5 1
Lake 103009 55268 619 624 286 63
Lee 185050 87063 898 934 446 22
Leon 46472 69577 493 427 373 84
Levy 13682 3943 69 116 44 10
Liberty 2163 405 11 18 3 0
Madison 4468 2442 23 26 9 0
Manatee 107991 61237 731 677 310 80
Marion 104574 49640 624 578 227 49
Martin 52293 24626 241 258 110 0
Miami-Dade 386135 318760 2591 2628 1255 292
Monroe 19893 13740 150 107 61 16
Nassau 35902 11322 201 166 63 10
Okaloosa 60746 18814 469 371 286 32
Okeechobee 8523 2216 38 59 16 4
Orange 176705 225109 1754 1386 1221 168
Osceola 51376 49867 530 513 310 53
"Palm Beach" 267371 269265 1794 2234 1005 240
Pasco 143668 77588 1060 1325 622 117
Pinellas 223643 191914 2598 2351 1287 209
Polk 144405 82166 977 1206 493 102
Putnam 19807 6442 96 139 43 14
"Santa Rosa" 58330 15416 388 319 184 0
Sarasota 129718 86485 743 829 355 65
Seminole 97707 83188 869 650 457 67
"St. Johns" 98498 44309 655 474 284 47
"St. Lucie" 69850 50771 414 414 220 62
Sumter 63789 25000 189 219 90 12
Suwannee 13113 3017 57 82 23 9
Taylor 6055 1495 25 26 8 0
Union 3916 580 13 22 7 0
Volusia 138717 84345 939 868 417 72
Wakulla 10480 4337 69 65 35 6
Walton 28178 6317 124 98 65 16
Washington 7640 1345 42 50 17 4
