COUNTY DEM GRN OTH REP
COUNTY Gore_D Nader_G Other_O Bush_R
APPLING 2093 2 64 3940
ATKINSON 821 1 21 1228
BACON 956 2 27 2010
BAKER 893 0 11 615
BALDWIN 5893 22 170 6041
BANKS 1220 14 97 3202
BARROW 3657 61 459 7925
BARTOW 7508 55 498 14720
"BEN HILL" 2234 0 46 2381
BERRIEN 1640 0 52 2718
BIBB 24996 248 461 24071
BLECKLEY 1273 1 39 2436
BRANTLEY 1372 5 71 3118
BROOKS 2096 12 37 2406
BRYAN 2172 0 52 4835
BULLOCH 5561 137 94 8990
BURKE 3720 7 27 3381
BUTTS 2281 8 148 3198
CALHOUN 1107 0 12 768
CAMDEN 3636 10 102 6371
CANDLER 1053 0 26 1643
CARROLL 8752 157 506 16326
CATOOSA 5470 66 152 12033
CHARLTON 1015 5 26 1770
CHATHAM 37590 596 442 37847
CHATTAHOOCHEE 600 4 13 590
CHATTOOGA 2729 5 103 3640
CHEROKEE 12295 306 1714 38033
CLARKE 15167 1247 640 11850
CLAY 821 0 8 448
CLAYTON 40042 176 1218 19966
CLINCH 816 0 22 1091
COBB 86676 2134 5723 140494
COFFEE 3593 8 73 5756
COLQUITT 3297 5 81 6589
COLUMBIA 8969 122 257 26660
COOK 1639 3 23 2279
COWETA 9056 133 710 21327
CRAWFORD 1513 5 62 1987
CRISP 2268 1 55 3285
DADE 1628 13 75 3333
DAWSON 1458 28 202 4210
DECATUR 3398 13 50 4187
DEKALB 154509 1930 4734 58807
DODGE 2326 1 78 3472
DOOLY 1901 0 31 1588
DOUGHERTY 16650 68 98 12248
DOUGLAS 11162 162 747 18893
EARLY 1622 4 21 1938
ECHOLS 272 0 12 614
EFFINGHAM 3232 13 79 7326
ELBERT 2527 14 50 3262
EMANUEL 2835 1 84 3343
EVANS 1217 2 20 1841
FANNIN 2736 33 158 5463
FAYETTE 11912 259 940 29338
FLOYD 10282 0 349 16194
FORSYTH 6694 132 1160 27769
FRANKLIN 2040 0 63 3659
FULTON 152039 1264 5039 104870
GILMER 2230 35 164 4941
GLASCOCK 249 0 8 763
GLYNN 7778 128 132 14346
GORDON 4032 18 211 7944
GRADY 2721 18 70 3894
GREENE 2137 13 67 2980
GWINNETT 61434 1298 6623 121756
HABERSHAM 2530 36 161 6964
HALL 10259 190 860 26841
HANCOCK 2414 4 6 662
HARALSON 2869 0 145 5153
HARRIS 2912 20 76 5554
HART 3192 21 81 4242
HEARD 1178 9 64 1947
HENRY 11971 46 1035 25815
HOUSTON 13301 89 424 23174
IRWIN 1105 3 24 1720
JACKSON 3420 43 294 7878
JASPER 1558 2 85 2298
"JEFF DAVIS" 1379 2 43 2797
JEFFERSON 2973 2 32 2559
JENKINS 1250 5 21 1317
JOHNSON 1065 1 20 1797
JONES 3102 24 92 4850
LAMAR 2194 15 109 2912
LANIER 832 3 21 1048
LAURENS 5724 0 179 8133
LEE 1936 9 67 5872
LIBERTY 5347 26 144 4455
LINCOLN 1275 0 21 1807
LONG 975 1 18 1320
LOWNDES 10616 188 166 14462
LUMPKIN 2121 0 202 4427
MACON 2757 3 29 1566
MADISON 2285 44 135 5529
MARION 982 0 15 1187
MCDUFFIE 2580 6 38 3926
MCINTOSH 2047 4 20 1766
MERIWETHER 3441 13 93 3162
MILLER 783 0 18 1349
MITCHELL 2971 5 33 2790
MONROE 2839 18 123 4561
MONTGOMERY 1013 8 23 1465
MORGAN 2238 29 111 3524
MURRAY 2684 10 139 5539
MUSCOGEE 28193 243 248 23479
NEWTON 6703 31 514 11127
OCONEE 3184 148 225 7611
OGLETHORPE 1519 69 91 2706
PAULDING 6743 34 602 16881
PEACH 3540 3 69 3525
PICKENS 2489 9 215 5488
PIERCE 1300 2 31 3348
PIKE 1413 13 101 3358
POLK 4112 26 137 5841
PULASKI 1390 2 32 1922
PUTNAM 2612 20 71 3596
QUITMAN 542 0 14 348
RABUN 1776 31 83 3451
RANDOLPH 1381 0 14 1174
RICHMOND 31413 175 465 25485
ROCKDALE 8295 159 755 15440
SCHLEY 460 1 9 706
SCREVEN 2233 3 22 2461
SEMINOLE 1313 0 27 1537
SPALDING 5831 8 281 9271
STEPHENS 2869 9 128 5370
STEWART 1267 0 12 675
SUMTER 4748 40 62 4847
TALBOT 1662 3 22 844
TALIAFERRO 556 2 3 271
TATTNALL 1963 1 49 3597
TAYLOR 1340 2 26 1412
TELFAIR 1777 1 22 1693
TERRELL 1584 2 23 1504
THOMAS 4862 40 63 7093
TIFT 3547 22 81 6678
TOOMBS 2643 13 67 4487
TOWNS 1495 34 66 2902
TREUTLEN 879 3 19 1062
TROUP 6379 80 147 11198
TURNER 1169 2 27 1258
TWIGGS 1977 4 64 1570
UNION 2230 54 105 4567
UPSON 3158 12 93 5019
WALKER 6341 0 228 12326
WALTON 5484 38 595 12966
WARE 3480 0 49 6099
WARREN 1196 2 14 933
WASHINGTON 3476 7 46 3162
WAYNE 2736 0 49 5219
WEBSTER 541 1 8 359
WHEELER 752 2 8 813
WHITE 2014 47 125 4857
WHITFIELD 7034 131 285 15852
WILCOX 962 0 22 1381
WILKES 1940 8 34 2044
WILKINSON 1884 3 53 1800
WORTH 2214 8 47 3792
