COUNTY DEM OTH REP
COUNTY Obama_D Other_O Mccain_R
APPLING 1846 65 5085
ATKINSON 938 25 1941
BACON 817 32 3089
BAKER 846 13 828
BALDWIN 8587 127 7823
BANKS 1027 94 5120
BARROW 6657 300 17625
BARTOW 9662 455 25976
"BEN HILL" 2590 29 3417
BERRIEN 1471 77 4901
BIBB 38987 344 27037
BLECKLEY 1380 34 3657
BRANTLEY 1119 78 5080
BROOKS 2669 25 3507
BRYAN 3636 97 9112
BULLOCH 9586 160 14174
BURKE 5233 49 4344
BUTTS 3065 79 5947
CALHOUN 1342 7 862
CAMDEN 6482 100 10502
CANDLER 1209 23 2286
CARROLL 14334 503 28661
CATOOSA 6025 253 18218
CHARLTON 1197 22 2466
CHATHAM 62755 654 46829
CHATTAHOOCHEE 830 12 811
CHATTOOGA 2596 139 5572
CHEROKEE 22350 1143 70279
CLARKE 29591 586 15333
CLAY 879 3 558
CLAYTON 82527 405 16506
CLINCH 989 29 1678
COBB 141216 3271 170957
COFFEE 4811 64 8872
COLQUITT 4139 111 9185
COLUMBIA 15703 326 39322
COOK 2075 46 3782
COWETA 15521 457 37571
CRAWFORD 1832 50 3358
CRISP 3085 41 4424
DADE 1612 93 4703
DAWSON 1632 100 8242
DECATUR 4424 60 5890
DEKALB 254594 2126 65581
DODGE 2595 74 5543
DOOLY 2138 31 1991
DOUGHERTY 26135 164 12547
DOUGLAS 27825 446 26812
EARLY 2603 21 2711
ECHOLS 201 5 981
EFFINGHAM 4936 150 15230
ELBERT 3366 83 4868
EMANUEL 3068 64 5110
EVANS 1374 19 2462
FANNIN 2611 166 7807
FAYETTE 20313 507 38501
FLOYD 10691 390 23132
FORSYTH 15406 804 59166
FRANKLIN 1914 90 6069
FULTON 272000 3492 130136
GILMER 2614 127 8408
GLASCOCK 210 16 1202
GLYNN 12676 186 20479
GORDON 4268 226 13113
GRADY 3539 51 5775
GREENE 3339 48 4532
GWINNETT 129025 2376 158746
HABERSHAM 2900 142 11766
HALL 14457 509 44962
HANCOCK 3535 14 795
HARALSON 2248 191 8658
HARRIS 4184 76 10648
HART 3365 100 6537
HEARD 1042 50 3133
HENRY 40527 587 47115
HOUSTON 22094 445 33392
IRWIN 1197 26 2605
JACKSON 4950 234 17776
JASPER 1935 53 3916
"JEFF DAVIS" 1356 55 3867
JEFFERSON 4149 24 3061
JENKINS 1482 22 1936
JOHNSON 1198 23 2426
JONES 4572 84 7782
LAMAR 2752 63 4873
LANIER 1062 24 1787
LAURENS 7769 116 12052
LEE 3100 62 9925
LIBERTY 10474 74 5828
LINCOLN 1650 35 2731
LONG 1288 43 2119
LOWNDES 17651 293 21296
LUMPKIN 2586 163 8326
MACON 3251 21 1712
MADISON 2965 174 8226
MARION 1381 35 1772
MCDUFFIE 3989 155 5400
MCINTOSH 2905 49 3282
MERIWETHER 4465 57 4982
MILLER 818 21 1899
MITCHELL 3872 47 4201
MONROE 4106 92 7933
MONTGOMERY 1045 24 2521
MORGAN 3091 73 5987
MURRAY 3026 176 8180
MUSCOGEE 44158 339 29568
NEWTON 20827 271 20337
OCONEE 4825 187 12120
OGLETHORPE 2232 71 4144
PAULDING 17229 564 39192
PEACH 5927 65 5173
PICKENS 2595 187 10004
PIERCE 1253 38 5500
PIKE 1575 81 6547
POLK 4052 211 9850
PULASKI 1377 23 2553
PUTNAM 3102 64 5966
QUITMAN 597 8 509
RABUN 2001 111 5487
RANDOLPH 1833 12 1370
RICHMOND 52100 391 26842
ROCKDALE 20526 259 16921
SCHLEY 479 7 1252
SCREVEN 3024 34 3423
SEMINOLE 1660 21 2315
SPALDING 10141 229 14885
STEPHENS 2705 123 7689
STEWART 1305 17 783
SUMTER 6454 64 5717
TALBOT 2369 30 1301
TALIAFERRO 643 8 339
TATTNALL 1932 52 4730
TAYLOR 1536 26 2021
TELFAIR 1862 26 2486
TERRELL 2501 25 1890
THOMAS 7720 97 10642
TIFT 4749 77 9431
TOOMBS 2964 66 6658
TOWNS 1391 56 4292
TREUTLEN 1112 16 1826
TROUP 10455 182 15391
TURNER 1427 30 2096
TWIGGS 2402 30 2087
UNION 2486 135 8013
UPSON 4061 69 7291
WALKER 6095 337 17110
WALTON 8469 304 27253
WARE 4034 71 8311
WARREN 1554 19 1087
WASHINGTON 4607 40 4216
WAYNE 2858 101 7601
WEBSTER 515 8 588
WHEELER 794 8 1408
WHITE 2174 120 8467
WHITFIELD 8167 280 19230
WILCOX 978 26 2159
WILKES 2315 32 2705
WILKINSON 2298 26 2349
WORTH 2542 48 5780
