COUNTY DEM REP LIB OTHER
COUNTY DEM REP LIB OTHER
Appling 1260 5343 65 0
Atkinson 502 1706 27 0
Bacon 458 3204 48 0
Baker 522 709 11 0
Baldwin 7324 7416 214 0
Banks 772 6348 159 0
Barrow 8232 20127 893 61
Bartow 9337 29335 1053 73
"Ben Hill" 1767 3233 73 0
Berrien 908 5001 79 0
Bibb 32997 20179 694 60
Bleckley 1039 3674 77 1
Brantley 477 5275 94 0
Brooks 1993 3515 77 7
Bryan 5401 11141 379 0
Bulloch 12306 13160 396 0
Burke 3879 4459 102 1
Butts 2663 6781 182 8
Calhoun 962 724 11 0
Camden 5756 11695 417 15
Candler 950 2550 51 1
Carroll 12576 29831 1087 0
Catoosa 5280 18545 558 0
Charlton 780 2552 55 0
Chatham 62859 41134 1811 0
Chattahoochee 453 538 24 1
Chattooga 1512 5977 172 14
Cherokee 34961 80784 3831 190
Clarke 28551 10804 799 0
Clay 572 527 20 0
Clayton 73310 9437 1089 0
Clinch 439 1630 35 0
Cobb 175387 125324 8427 0
Coffee 3213 8442 188 0
Colquitt 2964 9389 192 0
Columbia 23004 40120 1257 0
Cook 1497 3944 96 0
Coweta 20147 41499 1673 116
Crawford 1295 3438 78 0
Crisp 2163 4057 84 6
Dade 996 4695 127 0
Dawson 2257 11168 407 25
Decatur 3293 5403 102 4
DeKalb 250064 41881 4843 395
Dodge 1640 4894 73 0
Dooly 1461 1784 32 0
Dougherty 18565 7749 255 22
Douglas 34095 17573 998 59
Early 1650 2205 28 0
Echols 100 937 23 0
Effingham 6468 18220 604 26
Elbert 2069 5129 90 7
Emanuel 2157 5322 58 2
Evans 968 2314 54 1
Fannin 2229 10020 290 21
Fayette 28250 30162 1493 0
Floyd 9133 21885 813 43
Forsyth 32812 65953 2977 0
Franklin 1166 7374 164 9
Fulton 306052 105520 7794 0
Gilmer 2513 11143 325 17
Glascock 113 1171 11 0
Glynn 11799 20710 596 0
Gordon 3349 14943 475 20
Grady 2549 5378 99 5
Greene 3520 6740 156 16
Gwinnett 175345 114910 7313 0
Habersham 2884 13501 478 0
Hall 19173 51621 2162 67
Hancock 2371 989 30 0
Haralson 1496 9786 308 16
Harris 4542 12068 338 24
Hart 2319 7977 192 0
Heard 674 3672 92 8
Henry 60299 52695 1640 0
Houston 25629 32225 1095 61
Irwin 757 2601 46 0
Jackson 6498 24373 822 0
Jasper 1464 4944 120 0
"Jeff Davis" 738 3737 52 1
Jefferson 3158 3040 54 2
Jenkins 912 1824 25 2
Johnson 869 2482 17 0
Jones 3989 8089 191 13
Lamar 2138 5410 158 9
Lanier 725 1860 38 3
Laurens 6283 12064 155 0
Lee 3775 9532 221 0
Liberty 9604 5487 263 17
Lincoln 1077 2846 49 0
Long 1543 2753 95 7
Lowndes 13791 20160 545 0
Lumpkin 2536 9759 368 11
Macon 2269 1460 32 4
Madison 2861 9345 262 23
Marion 1018 1750 66 1
McDuffie 3101 5067 130 3
McIntosh 2048 3344 95 5
Meriwether 3361 5334 175 9
Miller 509 1617 22 0
Mitchell 2953 3984 81 0
Monroe 3735 9669 255 5
Montgomery 742 2450 34 0
Morgan 2758 7315 174 15
Murray 1533 9736 199 0
Muscogee 36807 21483 885 57
Newton 24309 17546 781 0
Oconee 6984 14677 615 51
Oglethorpe 1995 4636 152 5
Paulding 24336 40647 1632 0
Peach 4695 5149 143 11
Pickens 2588 12046 364 13
Pierce 779 6325 63 0
Pike 1257 7947 191 4
Polk 2791 10398 342 21
Pulaski 1001 2318 44 4
Putnam 2842 7152 191 0
Quitman 378 511 13 0
Rabun 1804 6179 223 0
Randolph 1365 1157 23 2
Richmond 43502 19487 880 0
Rockdale 25421 8708 572 0
Schley 384 1467 19 0
Screven 2001 3201 72 3
Seminole 827 2150 44 6
Spalding 9750 13959 534 19
Stephens 1760 7374 197 0
Stewart 915 632 13 0
Sumter 4890 4586 96 1
Talbot 1688 1118 43 0
Taliaferro 482 310 4 0
Tattnall 1525 4865 109 0
Taylor 1137 2014 35 0
Telfair 1032 2340 28 1
Terrell 1920 1709 40 0
Thomas 6431 10476 262 0
Tift 3872 8914 176 0
Toombs 2059 6296 100 0
Towns 1358 5565 178 13
Treutlen 710 1721 12 0
Troup 8797 13927 426 15
Turner 1151 1889 42 0
Twiggs 1596 1886 45 0
Union 2620 11182 378 27
Upson 3171 6684 205 17
Walker 4377 17053 531 35
Walton 10691 30544 1004 0
Ware 2968 7563 161 13
Warren 1116 1007 25 0
Washington 3791 3901 66 8
Wayne 2012 7837 136 7
Webster 441 676 7 4
Wheeler 534 1266 17 0
White 2062 10247 347 2
Whitfield 6893 19369 597 29
Wilcox 644 1947 22 0
Wilkes 1679 2401 46 10
Wilkinson 1728 2271 43 2
Worth 1840 5410 100 0
