COUNTY DEM OTH REP
COUNTY Clinton_D Other_O Trump_R
ADAIR 1133 217 2461
ADAMS 565 146 1395
ALLAMAKEE 2421 409 4093
APPANOOSE 1814 289 4033
AUDUBON 1080 196 2136
BENTON 4678 934 8232
"BLACK HAWK" 32233 4696 27476
BOONE 5541 1171 7484
BREMER 5356 974 7208
BUCHANAN 3970 772 5510
"BUENA VISTA" 2856 519 4903
BUTLER 2157 435 4921
CALHOUN 1398 293 3468
CARROLL 3309 597 6638
CASS 1951 413 4761
CEDAR 3599 647 5295
"CERRO GORDO" 9862 1482 11621
CHEROKEE 1679 387 4192
CHICKASAW 2266 427 3742
CLARKE 1465 276 2713
CLAY 2249 491 5877
CLAYTON 3237 575 5317
CLINTON 10095 1696 11276
CRAWFORD 1991 327 4617
DALLAS 15701 3212 19339
DAVIS 977 182 2723
DECATUR 1201 237 2296
DELAWARE 2957 590 5694
"DES MOINES" 8212 1362 9529
DICKINSON 3056 545 6753
DUBUQUE 22850 3411 23460
EMMET 1357 272 3124
FAYETTE 3689 666 5620
FLOYD 3179 506 4375
FRANKLIN 1493 312 3163
FREMONT 963 225 2407
GREENE 1691 310 2820
GRUNDY 1856 489 4527
GUTHRIE 1732 390 3628
HAMILTON 2726 505 4463
HANCOCK 1587 307 3977
HARDIN 2787 492 5254
HARRISON 2131 432 4902
HENRY 2904 721 5779
HOWARD 1677 271 2611
HUMBOLDT 1252 267 3568
IDA 792 165 2655
IOWA 3084 615 5205
JACKSON 3837 649 5824
JASPER 7109 1365 10560
JEFFERSON 3710 698 3748
JOHNSON 50200 5696 21044
JONES 3787 626 5720
KEOKUK 1342 253 3390
KOSSUTH 2543 411 5653
LEE 6215 1133 8803
LINN 58935 9773 48390
LOUISA 1648 291 3069
LUCAS 1239 238 2877
LYON 920 265 5192
MADISON 2678 598 5360
MAHASKA 2619 581 7432
MARION 5482 1372 10962
MARSHALL 7652 1182 9146
MILLS 2090 541 5067
MITCHELL 1888 339 3190
MONONA 1247 205 3120
MONROE 1056 171 2638
MONTGOMERY 1314 294 3436
MUSCATINE 8368 1482 9584
O'BRIEN 1315 339 5752
OSCEOLA 552 130 2531
PAGE 1807 344 4893
"PALO ALTO" 1398 224 3081
PLYMOUTH 2885 625 9680
POCAHONTAS 963 200 2702
POLK 119804 18259 93492
POTTAWATTAMIE 15355 2878 24447
POWESHIEK 4304 583 4946
RINGGOLD 753 130 1824
SAC 1270 239 3703
SCOTT 40440 6631 39149
SHELBY 1662 346 4362
SIOUX 2300 1109 14785
STORY 25709 5500 19458
TAMA 3196 585 4971
TAYLOR 758 160 2111
UNION 1922 385 3525
"VAN BUREN" 845 189 2527
WAPELLO 5594 840 8715
WARREN 10411 2075 14814
WASHINGTON 3943 813 6173
WAYNE 719 152 2069
WEBSTER 6305 1069 10056
WINNEBAGO 1931 409 3447
WINNESHIEK 5254 764 5344
WOODBURY 16210 2781 24727
WORTH 1530 274 2453
WRIGHT 1896 330 3800
