COUNTY DEM GRN LIB OTH REP
COUNTY Biden_D Other_G Jorgensen_L Other_O Trump_R
ADAIR 1198 4 35 18 2922
ADAMS 590 1 27 7 1535
ALLAMAKEE 2576 4 71 27 4744
APPANOOSE 1891 9 72 22 4522
AUDUBON 1071 7 32 11 2299
BENTON 5160 29 186 59 9208
"BLACK HAWK" 35647 103 722 308 29813
BOONE 6303 24 198 86 8729
BREMER 5958 24 185 55 8324
BUCHANAN 4169 20 96 59 6430
"BUENA VISTA" 2961 10 66 56 5074
BUTLER 2424 14 68 36 5556
CALHOUN 1470 3 59 28 3698
CARROLL 3454 13 68 34 7766
CASS 2201 8 61 27 4979
CEDAR 4337 22 124 36 6184
"CERRO GORDO" 10941 42 196 123 12499
CHEROKEE 1936 3 48 21 4510
CHICKASAW 2233 10 47 19 4322
CLARKE 1466 3 34 14 3153
CLAY 2662 8 101 40 6158
CLAYTON 3340 18 82 35 6119
CLINTON 10812 47 314 104 13410
CRAWFORD 2220 8 42 22 4862
DALLAS 26879 57 744 180 28162
DAVIS 1013 5 30 19 3035
DECATUR 1120 11 29 26 2618
DELAWARE 3157 15 87 56 6688
"DES MOINES" 8893 52 275 94 10642
DICKINSON 3661 8 92 31 7452
DUBUQUE 25657 125 556 230 27358
EMMET 1520 12 36 17 3268
FAYETTE 3835 27 102 48 6174
FLOYD 3172 10 63 40 4747
FRANKLIN 1626 5 45 21 3433
FREMONT 1080 6 37 17 2717
GREENE 1769 4 36 19 3229
GRUNDY 2206 12 87 26 4945
GUTHRIE 1985 7 79 20 4280
HAMILTON 2843 7 71 40 4982
HANCOCK 1683 7 49 32 4401
HARDIN 2976 11 105 33 5864
HARRISON 2440 9 85 41 5580
HENRY 3275 15 128 39 6525
HOWARD 1772 10 23 20 3133
HUMBOLDT 1442 4 39 17 3825
IDA 917 6 27 14 2885
IOWA 3547 15 102 43 6035
JACKSON 4029 13 79 57 6957
JASPER 7737 30 207 85 12125
JEFFERSON 4319 32 95 37 4476
JOHNSON 59177 213 964 291 23206
JONES 4213 15 118 47 6596
KEOKUK 1414 2 51 27 3809
KOSSUTH 2696 10 61 35 6288
LEE 6541 34 240 111 9808
LINN 70874 325 2015 500 53744
LOUISA 1726 5 67 28 3506
LUCAS 1284 6 30 15 3295
LYON 1067 6 56 16 5718
MADISON 3134 12 124 29 6525
MAHASKA 2894 13 134 43 8320
MARION 6178 24 233 75 12722
MARSHALL 8176 31 216 103 9610
MILLS 2508 12 100 32 5616
MITCHELL 2053 9 56 20 3684
MONONA 1407 3 36 20 3262
MONROE 1078 3 21 8 2978
MONTGOMERY 1583 6 50 22 3666
MUSCATINE 9372 57 293 84 10865
O'BRIEN 1569 6 77 28 5871
OSCEOLA 601 4 18 10 2695
PAGE 2086 10 76 28 5328
"PALO ALTO" 1519 8 43 10 3378
PLYMOUTH 3494 13 112 54 10515
POCAHONTAS 933 2 37 19 2832
POLK 146250 487 3322 1132 107564
POTTAWATTAMIE 18575 93 552 172 26352
POWESHIEK 4306 26 90 45 5673
RINGGOLD 709 2 18 11 1974
SAC 1389 6 47 24 4069
SCOTT 46926 209 1124 382 43958
SHELBY 1959 7 83 35 4711
SIOUX 3019 23 170 64 15775
STORY 29175 147 924 251 20541
TAMA 3577 19 87 40 5325
TAYLOR 746 1 17 15 2470
UNION 2061 10 61 29 4024
"VAN BUREN" 875 6 23 17 2870
WAPELLO 5821 22 200 54 9536
WARREN 12574 51 430 116 17868
WASHINGTON 4561 21 144 48 6991
WAYNE 727 3 20 15 2344
WEBSTER 6613 26 128 85 10970
WINNEBAGO 2135 8 72 29 3726
WINNESHIEK 5617 21 112 51 6263
WOODBURY 18704 96 435 201 25926
WORTH 1596 7 38 35 2742
WRIGHT 1996 6 70 34 4148
