COUNTY REP DEM OTHER
COUNTY REP DEM OTHER
Adair 2278 886 3
Adams 1167 467 3
Allamakee 3806 1933 2
Appanoose 3356 1348 5
Audubon 1660 760 4
Benton 7501 3822 21
"Black Hawk" 23127 24028 54
Boone 6453 4616 20
Bremer 6628 4334 6
Buchanan 5085 3071 10
"Buena Vista" 3530 1518 5
Butler 4334 1669 6
Calhoun 2853 1926 6
Carroll 5773 2327 10
Cass 3698 1502 9
Cedar 4806 3105 5
"Cerro Gordo" 9256 7643 23
Cherokee 3338 1159 3
Chickasaw 3274 1665 4
Clarke 2332 1005 6
Clay 4576 1793 10
Clayton 4839 2510 9
Clinton 9594 7213 15
Crawford 3289 1101 4
Dallas 23279 20751 60
Davis 2206 764 3
Decatur 1944 794 7
Delaware 5422 2208 6
"Des Moines" 7350 5825 17
Dickinson 5821 2459 6
Dubuque 20762 18019 41
Emmet 2389 935 2
Fayette 4784 2744 8
Floyd 3464 2243 5
Franklin 2555 1022 5
Fremont 1861 735 4
Greene 2339 1218 11
Grundy 4537 2041 8
Guthrie 3448 1549 16
Hamilton 3757 1945 5
Hancock 3148 1194 8
Hardin 4537 2041 8
Harrison 3889 1546 26
Henry 4602 2261 7
Howard 2126 1221 6
Humboldt 2896 931 3
Ida 2130 587 8
Iowa 4802 2538 15
Jackson 4816 2813 7
Jasper 9298 5658 23
Jefferson 3262 3210 12
Johnson 18242 45372 62
Jones 5118 3041 14
Keokuk 2811 949 6
Kossuth 4781 1924 9
Lee 6964 4476 13
Linn 42743 51371 124
Louisa 2441 1038 3
Lucas 2512 937 10
Lyon 4277 662 1
Madison 5063 2404 16
Mahaska 6041 1935 8
Marion 9799 4340 20
Marshall 7307 5056 16
Mills 3922 1645 11
Mitchell 2761 1479 6
Monona 2376 879 9
Monroe 2135 762 6
Montgomery 2507 1001 5
Muscatine 7618 5546 20
O'Brien 4354 972 3
Osceola 1923 346 3
Page 3707 1384 12
"Palo Alto" 2586 994 6
Plymouth 7649 2053 13
Pocahontas 2158 658 4
Polk 83266 107460 377
Pottawattamie 17785 11172 50
Poweshiek 4323 3167 12
Ringgold 1484 556 3
Sac 2999 914 8
Scott 32802 30326 94
Shelby 3400 1213 6
Sioux 12392 1691 15
Story 15856 20991 66
Tama 4241 2732 0
Taylor 1764 487 4
Union 3035 1464 7
"Van Buren" 2096 671 6
Wapello 6601 3837 10
Warren 14009 9599 52
Washington 5449 3232 6
Wayne 1861 514 4
Webster 7695 4239 17
Winnebago 2881 1476 3
Winneshiek 5094 4474 15
Woodbury 18138 10403 66
Worth 2031 1183 5
Wright 2982 1268 9
