COUNTY DEM GRN OTH REP
COUNTY Gore_D Nader_G Other_O Bush_R
ADA 40650 4846 2939 75050
ADAMS 336 41 56 1476
BANNOCK 10892 920 817 18223
"BEAR LAKE" 517 15 71 2296
BENEWAH 895 56 130 2606
BINGHAM 3310 74 453 10628
BLAINE 3748 428 234 3528
BOISE 745 123 168 2019
BONNER 4318 893 381 8945
BONNEVILLE 7235 363 970 24988
BOUNDARY 832 132 123 2797
BUTTE 354 5 47 1054
CAMAS 113 7 28 359
CANYON 10588 588 1264 30560
CARIBOU 475 28 73 2601
CASSIA 1087 20 189 5983
CLARK 63 1 7 311
CLEARWATER 841 34 136 2885
CUSTER 416 44 76 1794
ELMORE 1840 97 138 4891
FRANKLIN 513 19 117 3594
FREMONT 699 33 114 4242
GEM 1346 45 216 4376
GOODING 1282 55 187 3502
IDAHO 1187 106 353 5806
JEFFERSON 1100 25 231 6480
JEROME 1360 24 205 4418
KOOTENAI 13488 1083 1079 28162
LATAH 5661 999 490 8161
LEMHI 660 12 110 2859
LEWIS 335 13 45 1295
LINCOLN 437 18 70 1049
MADISON 816 37 176 7941
MINIDOKA 1344 30 237 4907
"NEZ PERCE" 4995 141 308 10577
ONEIDA 307 8 57 1426
OWYHEE 623 22 93 2450
PAYETTE 1643 80 174 4961
POWER 755 9 73 1872
SHOSHONE 2225 92 189 2879
TETON 720 151 55 1745
"TWIN FALLS" 5777 310 649 15794
VALLEY 1129 201 100 2548
WASHINGTON 980 64 127 2899
