COUNTY DEM OTH REP
COUNTY Obama_D Other_O Mccain_R
ADA 82236 3838 93328
ADAMS 728 75 1517
BANNOCK 14792 957 19356
"BEAR LAKE" 502 64 2377
BENEWAH 1407 111 2646
BINGHAM 4424 501 12230
BLAINE 6947 185 3439
BOISE 1240 100 2433
BONNER 7840 562 11145
BONNEVILLE 11417 952 29334
BOUNDARY 1484 171 3078
BUTTE 318 36 1056
CAMAS 187 9 422
CANYON 20147 1347 42752
CARIBOU 553 93 2656
CASSIA 1332 201 6309
CLARK 64 6 305
CLEARWATER 1211 126 2569
CUSTER 611 47 1694
ELMORE 2591 180 5665
FRANKLIN 600 227 4246
FREMONT 1065 115 4700
GEM 2166 196 5585
GOODING 1489 137 3765
IDAHO 2017 298 5895
JEFFERSON 1641 260 8540
JEROME 1794 156 4897
KOOTENAI 22120 1425 38387
LATAH 9195 531 7988
LEMHI 1061 106 2938
LEWIS 479 50 1275
LINCOLN 545 93 1232
MADISON 1627 299 11131
MINIDOKA 1630 173 5087
"NEZ PERCE" 7123 343 10357
ONEIDA 381 57 1724
OWYHEE 944 90 3024
PAYETTE 2415 210 5988
POWER 1027 61 1754
SHOSHONE 2521 192 2953
TETON 2302 93 2263
"TWIN FALLS" 8621 691 19032
VALLEY 2405 119 2772
WASHINGTON 1241 97 3168
