COUNTY DEM LIB OTH REP
COUNTY Biden_D Jorgensen_L Other_O Trump_R
ADA 120539 5310 2841 130699
ADAMS 591 34 20 1941
BANNOCK 14682 947 593 23331
"BEAR LAKE" 350 25 26 2914
BENEWAH 977 58 60 3878
BINGHAM 4124 307 270 15295
BLAINE 8919 168 170 4032
BOISE 1204 67 64 3485
BONNER 8310 401 255 18369
BONNEVILLE 14254 1288 648 37805
BOUNDARY 1220 82 74 4937
BUTTE 188 11 14 1202
CAMAS 149 7 91 507
CANYON 25881 1696 1074 61759
CARIBOU 431 41 38 2906
CASSIA 1464 121 137 7907
CLARK 41 4 2 264
CLEARWATER 877 47 42 3453
CUSTER 603 17 30 2089
ELMORE 2601 225 133 7246
FRANKLIN 657 87 75 5845
FREMONT 998 88 85 5548
GEM 1803 121 83 7951
GOODING 1256 67 68 4659
IDAHO 1561 118 97 7826
JEFFERSON 1661 252 161 12099
JEROME 1893 100 85 5734
KOOTENAI 24312 1594 724 62837
LATAH 10236 608 254 9472
LEMHI 1032 78 36 3592
LEWIS 349 16 16 1489
LINCOLN 414 21 36 1469
MADISON 2666 644 243 13559
MINIDOKA 1550 87 91 6265
"NEZ PERCE" 6686 296 247 13738
ONEIDA 249 27 27 2148
OWYHEE 816 57 50 3819
PAYETTE 2161 166 104 8862
POWER 865 41 52 2116
SHOSHONE 1693 71 69 4216
TETON 3318 109 62 2858
"TWIN FALLS" 9391 770 443 25897
VALLEY 2976 73 67 3947
WASHINGTON 1073 57 60 4154
