COUNTY DEM GRN OTH REP
COUNTY Gore_D Nader_G Other_O Bush_R
ADAMS 12197 371 210 17331
ALEXANDER 2357 28 49 1588
BOND 3060 113 55 3804
BOONE 6481 325 100 8617
BROWN 1077 29 25 1529
BUREAU 7754 363 180 8526
CALHOUN 1310 42 21 1229
CARROLL 3113 154 75 3835
CASS 2789 94 48 2968
CHAMPAIGN 35515 3543 582 34645
CHRISTIAN 6799 269 166 7537
CLARK 2932 126 56 4398
CLAY 2212 78 56 3789
CLINTON 6436 295 108 8588
COLES 8904 507 187 10495
COOK 1280547 42068 8750 534542
CRAWFORD 3333 118 75 4974
CUMBERLAND 1870 72 69 2964
"DE WITT" 2870 133 80 3968
DEKALB 14798 1032 264 17139
DOUGLAS 3215 132 71 4734
DUPAGE 152550 8711 2064 201037
EDGAR 3216 113 70 4833
EDWARDS 978 42 28 2212
EFFINGHAM 4225 213 192 9855
FAYETTE 3886 122 130 5200
FORD 2090 116 58 3889
FRANKLIN 10201 347 174 8490
FULTON 8940 276 125 6936
GALLATIN 1878 40 49 1591
GREENE 2490 93 55 3129
GRUNDY 7516 257 102 8709
HAMILTON 1943 75 50 2519
HANCOCK 4256 161 140 5134
HARDIN 1184 41 46 1366
HENDERSON 2030 74 54 1708
HENRY 11921 428 225 10896
IROQUOIS 4397 229 113 8685
JACKSON 11773 1228 266 9823
JASPER 1815 50 37 3119
JEFFERSON 6685 211 102 8362
JERSEY 4355 231 128 4699
"JO DAVIESS" 4585 314 119 5304
JOHNSON 1928 83 66 3285
KANE 60127 3274 1008 76996
KANKAKEE 19180 713 241 20049
KENDALL 8444 481 156 13688
KNOX 12572 455 235 9912
LAKE 115058 4843 1275 120988
LASALLE 23355 992 384 21276
LAWRENCE 2822 101 61 3594
LEE 6111 320 120 8069
LIVINGSTON 5829 285 120 9187
LOGAN 4600 208 116 8141
MACON 24262 982 425 23830
MACOUPIN 11015 426 199 9749
MADISON 59077 2359 847 48821
MARION 8068 238 117 8240
MARSHALL 2570 134 58 3145
MASON 3192 117 52 3411
MASSAC 2912 83 73 3676
MCDONOUGH 6080 364 103 6465
MCHENRY 40698 2751 624 62112
MCLEAN 24936 1546 408 34008
MENARD 2164 135 41 3862
MERCER 4400 156 74 3688
MONROE 5797 262 105 7632
MONTGOMERY 6542 191 134 6226
MORGAN 5899 253 124 8058
MOULTRIE 2529 78 60 3058
OGLE 7673 467 136 12325
PEORIA 38604 1332 478 36398
PERRY 4862 173 105 4802
PIATT 3488 217 61 4619
PIKE 3198 115 93 4706
POPE 927 31 26 1346
PULASKI 1518 31 37 1430
PUTNAM 1657 58 27 1437
RANDOLPH 6794 229 137 7127
RICHLAND 2491 134 85 4718
"ROCK ISLAND" 37957 1364 580 25194
SALINE 5427 181 109 5933
SANGAMON 38414 2001 696 50374
SCHUYLER 1587 72 36 2077
SCOTT 954 31 26 1458
SHELBY 4018 162 132 5851
"ST. CLAIR" 55961 1569 564 42299
STARK 1211 55 29 1694
STEPHENSON 8062 476 125 10715
TAZEWELL 25379 1022 410 31537
UNION 3982 189 92 4397
VERMILION 15406 605 306 15783
WABASH 1987 75 40 3406
WARREN 3524 130 78 3899
WASHINGTON 2638 96 51 4353
WAYNE 2209 77 60 5347
WHITE 2958 113 45 4521
WHITESIDE 12886 515 184 11252
WILL 90902 3769 1171 95828
WILLIAMSON 12192 476 259 14012
WINNEBAGO 51981 2637 863 53816
WOODFORD 5529 263 96 10905
