COUNTY DEM OTH REP
COUNTY Obama_D Other_O Mccain_R
ADAMS 11794 318 18711
ALEXANDER 2189 56 1692
BOND 3843 134 3947
BOONE 11333 421 10403
BROWN 986 39 1544
BUREAU 8889 313 7911
CALHOUN 1423 55 1221
CARROLL 3965 113 3596
CASS 2690 101 2617
CHAMPAIGN 48597 1675 33871
CHRISTIAN 6918 310 7872
CLARK 3742 137 4409
CLAY 2425 103 3926
CLINTON 7657 300 9357
COLES 11716 382 10978
COOK 1629024 20706 487736
CRAWFORD 3883 176 5070
CUMBERLAND 2055 110 3156
"DE WITT" 3308 145 4348
DEKALB 25784 768 18266
DOUGLAS 3228 123 5005
DUPAGE 228698 5649 183626
EDGAR 3743 114 4398
EDWARDS 1140 73 2137
EFFINGHAM 5262 250 11323
FAYETTE 3967 214 5499
FORD 2227 80 4079
FRANKLIN 8880 357 9404
FULTON 9732 340 6251
GALLATIN 1587 60 1212
GREENE 2619 135 3053
GRUNDY 11063 421 10687
HAMILTON 1796 115 2353
HANCOCK 4141 167 5161
HARDIN 892 33 1330
HENDERSON 2215 58 1541
HENRY 13181 341 11263
IROQUOIS 4643 258 8695
JACKSON 15248 597 9687
JASPER 2063 104 2964
JEFFERSON 7462 377 9302
JERSEY 5042 212 5329
"JO DAVIESS" 6403 177 5170
JOHNSON 1871 118 3912
KANE 106756 2580 83963
KANKAKEE 24750 739 22527
KENDALL 24742 509 21380
KNOX 14191 378 9419
LAKE 177242 3318 118545
LASALLE 27443 870 21872
LAWRENCE 3016 117 3403
LEE 7765 295 8258
LIVINGSTON 6189 245 9191
LOGAN 5250 217 7429
MACON 25487 781 24948
MACOUPIN 12090 392 9891
MADISON 68979 2178 57177
MARION 8345 328 8691
MARSHALL 3081 107 3145
MASON 3542 125 3141
MASSAC 2693 122 4371
MCDONOUGH 6783 204 6055
MCHENRY 72288 2135 64845
MCLEAN 37689 1294 36767
MENARD 2706 86 3672
MERCER 4887 128 3833
MONROE 7953 249 9881
MONTGOMERY 6491 230 6150
MORGAN 7467 295 7591
MOULTRIE 2668 121 3471
OGLE 11253 453 13144
PEORIA 45906 1219 34579
PERRY 4701 208 5086
PIATT 3859 149 4991
PIKE 3024 135 4457
POPE 845 43 1343
PULASKI 1638 39 1593
PUTNAM 1900 59 1378
RANDOLPH 7395 269 7538
RICHLAND 3181 140 4329
"ROCK ISLAND" 42210 827 25364
SALINE 5083 246 6099
SANGAMON 51300 1583 46945
SCHUYLER 1900 90 1833
SCOTT 1090 55 1455
SHELBY 4245 227 6396
"ST. CLAIR" 76160 1626 47958
STARK 1357 37 1513
STEPHENSON 11349 347 9909
TAZEWELL 29384 1223 33247
UNION 3918 195 5003
VERMILION 16246 572 16054
WABASH 2462 66 3254
WARREN 4286 106 3637
WASHINGTON 3342 117 4473
WAYNE 2547 134 5390
WHITE 3315 151 3987
WHITESIDE 15607 416 10883
WILL 160406 3417 122597
WILLIAMSON 12914 520 17387
WINNEBAGO 70034 2111 53886
WOODFORD 6999 293 12191
