COUNTY DEM GRN LIB OTH REP
COUNTY Biden_D Other_G Jorgensen_L Other_O Trump_R
ADAMS 8633 102 483 89 24220
ALEXANDER 1114 5 7 6 1486
BOND 2288 41 158 33 5625
BOONE 10542 146 360 48 13883
BROWN 486 10 47 47 1931
BUREAU 6669 95 209 50 10411
CALHOUN 677 8 36 5 2046
CARROLL 2748 39 111 21 5105
CASS 1615 17 50 10 3625
CHAMPAIGN 57067 755 1507 528 35285
CHRISTIAN 4335 65 210 31 11563
CLARK 1993 27 95 15 6226
CLAY 1129 26 88 14 5629
CLINTON 4493 77 258 38 14304
COLES 8067 132 306 64 14037
COOK 1725973 12279 17657 7308 558269
CRAWFORD 2202 43 119 18 7043
CUMBERLAND 1142 21 63 5 4601
"DE WITT" 2191 47 139 15 5632
DEKALB 24643 331 783 163 21905
DOUGLAS 2335 43 119 14 6227
DUPAGE 281222 2490 6249 1532 193611
EDGAR 1887 28 75 13 6193
EDWARDS 488 9 31 5 2833
EFFINGHAM 3716 59 232 36 15006
FAYETTE 1826 36 113 26 8055
FORD 1754 39 100 12 5048
FRANKLIN 4760 82 141 21 13622
FULTON 6503 92 179 37 9867
GALLATIN 622 10 18 5 2019
GREENE 1349 21 70 17 4770
GRUNDY 9626 125 356 61 16523
HAMILTON 824 11 41 7 3432
HANCOCK 2315 35 114 13 6906
HARDIN 449 7 14 1 1691
HENDERSON 1187 11 49 6 2394
HENRY 9797 109 369 60 15300
IROQUOIS 2908 64 147 29 10877
JACKSON 11181 194 311 67 10890
JASPER 1007 17 53 5 4494
JEFFERSON 4608 77 214 29 12476
JERSEY 2961 45 202 17 8712
"JO DAVIESS" 5109 61 125 35 7166
JOHNSON 1281 37 53 7 5059
KANE 130166 1201 2878 856 96775
KANKAKEE 20271 191 804 104 28532
KENDALL 33168 334 810 170 29492
KNOX 10703 115 258 58 12009
LAKE 204032 1441 4160 950 123594
LASALLE 22442 255 675 106 30113
LAWRENCE 1419 19 82 5 4886
LEE 6407 97 229 34 9630
LIVINGSTON 4615 73 244 34 12208
LOGAN 3840 66 211 41 9136
MACON 19847 211 597 146 28589
MACOUPIN 7365 110 350 44 16153
MADISON 57836 710 2169 393 76031
MARION 4524 74 163 19 12678
MARSHALL 2005 27 94 11 4197
MASON 1985 31 78 18 4654
MASSAC 1725 14 65 12 4997
MCDONOUGH 4992 54 173 39 7027
MCHENRY 78154 781 2176 508 82260
MCLEAN 43933 502 1624 441 40502
MENARD 2022 33 95 14 4764
MERCER 3280 48 134 13 5418
MONROE 6569 83 309 45 14142
MONTGOMERY 3905 53 204 21 9544
MORGAN 5076 55 198 30 9950
MOULTRIE 1662 24 87 7 4964
OGLE 9428 143 389 64 16248
PEORIA 43578 507 1309 327 38252
PERRY 2612 52 69 7 7313
PIATT 3329 35 168 42 6248
PIKE 1484 15 110 8 6332
POPE 433 4 16 0 1722
PULASKI 891 7 23 4 1699
PUTNAM 1338 17 33 9 1993
RANDOLPH 3592 69 132 22 11076
RICHLAND 1830 27 100 17 6089
"ROCK ISLAND" 36691 310 959 195 28603
SALINE 2789 35 124 15 8103
SANGAMON 48917 620 1449 281 53485
SCHUYLER 1068 12 48 5 2773
SCOTT 572 11 31 9 2114
SHELBY 2504 45 109 13 9426
"ST. CLAIR" 68325 666 1615 335 57150
STARK 815 17 42 5 2004
STEPHENSON 9055 94 328 50 12521
TAZEWELL 24819 342 1175 203 42513
UNION 2579 32 89 25 6161
VERMILION 10323 127 350 59 20725
WABASH 1253 14 78 11 4237
WARREN 3090 34 99 10 4676
WASHINGTON 1641 42 92 12 6115
WAYNE 1187 23 90 10 7176
WHITE 1517 23 82 8 5791
WHITESIDE 12253 154 382 59 14527
WILL 183915 1614 3672 788 155116
WILLIAMSON 10206 169 420 57 22801
WINNEBAGO 64056 645 1719 428 60861
WOODFORD 6160 103 314 56 14799
