COUNTY DEM GRN OTH REP
COUNTY Gore_D Nader_G Other_O Bush_R
ADAMS 3775 45 215 8555
ALLEN 41636 556 1702 70426
BARTHOLOMEW 9015 181 373 16200
BENTON 1328 20 85 2441
BLACKFORD 2103 18 73 2699
BOONE 4763 196 276 13161
BROWN 2608 210 128 3871
CARROLL 2965 87 114 5102
CASS 5412 0 389 9305
CLARK 17360 212 347 19417
CLAY 3605 19 141 6393
CLINTON 3643 40 167 7141
CRAWFORD 1817 17 48 2327
DAVIESS 2697 49 143 6872
DEARBORN 6020 0 178 11452
DECATUR 2889 11 156 6115
DEKALB 4776 71 237 8701
DELAWARE 20876 386 780 22105
DUBOIS 5090 42 238 10134
ELKHART 16402 642 682 36756
FAYETTE 3415 31 141 5060
FLOYD 13209 52 283 16486
FOUNTAIN 2717 18 138 4408
FRANKLIN 2591 25 136 5587
FULTON 2960 37 112 5218
GIBSON 5802 77 159 7734
GRANT 9712 84 437 16153
GREENE 4898 57 212 7452
HAMILTON 18002 669 883 56372
HANCOCK 6503 126 378 15943
HARRISON 5870 101 214 8711
HENDRICKS 10786 164 620 28651
HENRY 7647 9 338 10321
HOWARD 12899 343 522 20331
HUNTINGTON 4119 162 226 10113
JACKSON 5330 27 191 9054
JASPER 3744 71 140 7212
JAY 3167 15 161 4687
JEFFERSON 5117 84 148 6582
JENNINGS 3549 47 166 5732
JOHNSON 11952 178 750 29404
KNOX 6300 76 193 8485
KOSCIUSKO 5785 92 367 19040
LAGRANGE 2733 51 112 5437
LAKE 109078 1659 1868 63389
LAPORTE 19736 413 604 18994
LAWRENCE 5071 101 293 10677
MADISON 23403 0 857 27956
MARION 134189 2967 4937 137810
MARSHALL 5541 109 234 10266
MARTIN 1518 14 69 3008
MIAMI 4155 44 328 8401
MONROE 17523 2991 559 19147
MONTGOMERY 3899 132 179 8891
MORGAN 6228 151 371 15286
NEWTON 2101 28 131 3250
NOBLE 4822 66 225 9103
OHIO 951 6 20 1515
ORANGE 2601 46 124 4687
OWEN 2253 85 146 4019
PARKE 2481 20 105 3841
PERRY 3823 26 77 3461
PIKE 2605 3 128 3566
PORTER 26790 592 839 31157
POSEY 4430 52 130 6498
PULASKI 1919 17 85 3497
PUTNAM 4123 144 252 7352
RANDOLPH 3906 20 186 6020
RIPLEY 3498 23 166 6988
RUSH 2370 21 144 4749
SCOTT 3915 40 130 3761
SHELBY 5374 71 275 9590
SPENCER 3752 42 97 5096
"ST. JOSEPH" 47703 905 1285 47581
STARKE 4136 27 189 4349
STEUBEN 4103 40 181 6953
SULLIVAN 3833 4 106 4319
SWITZERLAND 1336 15 57 1831
TIPPECANOE 18220 1054 915 26106
TIPTON 2392 6 134 4784
UNION 927 11 52 1838
VANDERBURGH 29222 381 772 35846
VERMILLION 3370 13 120 3130
VIGO 17570 158 479 18021
WABASH 4277 125 160 8321
WARREN 1471 21 58 2218
WARRICK 8749 105 250 13205
WASHINGTON 3675 52 206 5868
WAYNE 10273 209 396 14273
WELLS 3319 30 177 7755
WHITE 3655 39 173 6037
WHITLEY 4107 30 215 8080
