COUNTY DEM OTH REP
COUNTY Kerry_D Other_O Bush_R
ADAMS 3512 94 9734
ALLEN 46710 886 82013
BARTHOLOMEW 9191 231 19093
BENTON 1135 60 2797
BLACKFORD 1903 30 3447
BOONE 5636 207 17055
BROWN 2730 88 4512
CARROLL 2689 81 5868
CASS 4315 136 9480
CLARK 17648 194 24495
CLAY 3333 89 7361
CLINTON 3335 71 8471
CRAWFORD 1932 33 2609
DAVIESS 2573 90 7936
DEARBORN 6596 142 14231
DECATUR 2621 79 7499
DEKALB 4810 125 10468
DELAWARE 20436 439 27064
DUBOIS 5210 130 11726
ELKHART 17966 447 42967
FAYETTE 3626 81 5761
FLOYD 13857 156 19877
FOUNTAIN 2477 67 5260
FRANKLIN 2925 90 6977
FULTON 2607 69 6027
GIBSON 5378 103 9133
GRANT 8509 182 18769
GREENE 4606 137 8609
HAMILTON 26388 631 77887
HANCOCK 6912 184 20771
HARRISON 6171 124 11015
HENDRICKS 13548 324 38430
HENRY 7176 191 13137
HOWARD 12998 309 23714
HUNTINGTON 3877 133 11617
JACKSON 5092 134 11083
JASPER 3678 110 8056
JAY 2740 65 5427
JEFFERSON 5117 91 7763
JENNINGS 3538 115 6864
JOHNSON 13109 381 37765
KNOX 5649 107 9990
KOSCIUSKO 5977 247 22136
LAGRANGE 2523 50 6430
LAKE 114743 1376 71903
LAPORTE 21114 576 20916
LAWRENCE 5346 145 12207
MADISON 21882 447 32526
MARION 162249 2517 156072
MARSHALL 5593 147 12074
MARTIN 1522 60 3414
MIAMI 3886 142 9600
MONROE 26965 668 22834
MONTGOMERY 3536 111 10901
MORGAN 6650 182 19197
NEWTON 2032 59 3757
NOBLE 4703 117 10859
OHIO 1139 23 1796
ORANGE 2885 84 5683
OWEN 2536 68 5000
PARKE 2362 59 4550
PERRY 4131 47 4137
PIKE 2418 49 3745
PORTER 29388 691 34794
POSEY 4085 68 7833
PULASKI 1750 67 3797
PUTNAM 4103 125 8908
RANDOLPH 3812 108 7172
RIPLEY 3510 100 8224
RUSH 2000 58 5363
SCOTT 3822 62 4793
SHELBY 4519 111 11397
SPENCER 3920 70 5934
"ST. JOSEPH" 52637 728 55254
STARKE 3987 104 4846
STEUBEN 4345 127 8433
SULLIVAN 3341 54 4999
SWITZERLAND 1479 31 2161
TIPPECANOE 20818 645 30897
TIPTON 2203 61 5628
UNION 1045 33 2266
VANDERBURGH 28767 424 41463
VERMILLION 3424 57 3536
VIGO 18426 330 20988
WABASH 3920 75 9607
WARREN 1356 39 2565
WARRICK 8980 115 16930
WASHINGTON 3879 86 6915
WAYNE 10775 296 16586
WELLS 3112 74 9168
WHITE 3277 115 6974
WHITLEY 3880 89 9512
