COUNTY DEM GRN LIB OTH REP
COUNTY Biden_D Other_G Jorgensen_L Other_O Trump_R
ADAMS 3236 0 287 0 10686
ALLEN 73189 29 3728 53 92083
BARTHOLOMEW 12934 9 872 10 22410
BENTON 1009 1 92 5 3007
BLACKFORD 1376 1 132 1 3841
BOONE 15244 7 905 13 22351
BROWN 3036 0 168 0 5777
CARROLL 2224 0 185 0 7086
CASS 4304 3 333 6 10552
CLARK 23093 0 1108 0 33668
CLAY 2552 6 208 2 9499
CLINTON 3361 6 246 2 9334
CRAWFORD 1355 0 106 0 3483
DAVIESS 2169 3 204 2 9576
DEARBORN 5446 12 387 10 19528
DECATUR 2439 0 273 0 9575
DEKALB 4966 0 425 0 14237
DELAWARE 20474 0 890 0 26827
DUBOIS 6292 0 432 13 15033
ELKHART 26108 37 1241 29 46972
FAYETTE 2237 0 144 0 7755
FLOYD 17511 24 850 17 23400
FOUNTAIN 1629 2 200 1 6154
FRANKLIN 2137 1 169 2 9691
FULTON 2280 3 170 0 6694
GIBSON 4023 0 321 0 11817
GRANT 8015 4 584 13 18543
GREENE 3389 1 290 1 11103
HAMILTON 88390 57 3894 71 101587
HANCOCK 12895 2 1016 2 28996
HARRISON 5343 3 323 2 14565
HENDRICKS 32604 18 2052 29 53802
HENRY 5544 4 434 5 15043
HOWARD 13303 12 858 8 26449
HUNTINGTON 4255 7 408 12 13147
JACKSON 4302 0 381 0 14555
JASPER 3798 4 288 2 11383
JAY 1926 3 169 2 6361
JEFFERSON 4731 6 296 1 9663
JENNINGS 2523 0 238 0 9490
JOHNSON 24736 30 1618 15 51219
KNOX 4067 4 282 3 11655
KOSCIUSKO 8364 5 903 16 26499
LAGRANGE 2355 0 168 0 8110
LAKE 124870 76 3212 38 91760
LAPORTE 22427 0 968 0 25997
LAWRENCE 4961 0 463 0 15601
MADISON 19524 12 1026 16 31215
MARION 247772 254 7228 190 134175
MARSHALL 5712 4 362 5 13844
MARTIN 1011 0 104 0 4029
MIAMI 3235 5 306 2 10925
MONROE 39861 88 1105 26 22071
MONTGOMERY 4213 0 326 0 12659
MORGAN 7781 2 862 2 27512
NEWTON 1509 0 140 0 4942
NOBLE 4660 0 335 0 14195
OHIO 668 0 353 0 2054
ORANGE 2224 0 174 2 6432
OWEN 2420 0 198 0 7286
PARKE 1503 0 110 0 5400
PERRY 3203 0 174 0 5345
PIKE 1415 0 113 0 4692
PORTER 39746 66 1656 33 45008
POSEY 3811 2 214 3 9206
PULASKI 1463 0 97 0 4246
PUTNAM 3946 0 371 2 12278
RANDOLPH 2513 1 243 1 8312
RIPLEY 2774 4 229 3 11261
RUSH 1754 0 143 0 6035
SCOTT 2701 1 134 0 7331
SHELBY 5023 0 400 0 14568
SPENCER 3213 0 199 0 7357
"ST. JOSEPH" 59896 55 1925 198 53164
STARKE 2650 0 174 0 7466
STEUBEN 4513 7 312 3 11327
SULLIVAN 2153 0 150 0 6691
SWITZERLAND 964 0 55 2 3133
TIPPECANOE 35017 10 1832 8 34581
TIPTON 1834 1 171 0 6110
UNION 736 0 59 0 2688
VANDERBURGH 34415 45 1322 36 41844
VERMILLION 2145 0 151 1 5184
VIGO 18123 15 900 11 24545
WABASH 3494 1 317 2 10762
WARREN 974 0 96 1 3401
WARRICK 11923 9 557 14 21326
WASHINGTON 2784 6 233 2 9114
WAYNE 9524 14 571 3 17567
WELLS 2928 2 261 4 10855
WHITE 3032 2 170 5 7957
WHITLEY 4234 3 453 4 12862
