COUNTY DEM GRN OTH REP
COUNTY Gore_D Nader_G Other_O Bush_R
ALLEN 2132 164 91 3379
ANDERSON 1327 94 73 1984
ATCHISON 3171 233 118 3378
BARBER 637 73 33 1755
BARTON 3238 251 164 7302
BOURBON 2211 159 86 3852
BROWN 1512 120 74 2985
BUTLER 6755 497 373 13377
CHASE 391 56 22 848
CHAUTAUQUA 443 36 54 1347
CHEROKEE 3783 225 108 5014
CHEYENNE 350 47 18 1312
CLARK 292 34 9 926
CLAY 951 93 46 2998
CLOUD 1314 210 61 2918
COFFEY 1196 96 48 2700
COMANCHE 211 18 17 760
COWLEY 5535 416 179 8080
CRAWFORD 7076 630 168 7160
DECATUR 424 51 29 1255
DICKINSON 2413 322 114 5243
DONIPHAN 1134 90 75 2350
DOUGLAS 18249 4031 496 17062
EDWARDS 447 33 21 1062
ELK 402 34 34 1080
ELLIS 3926 543 175 6516
ELLSWORTH 825 130 39 1845
FINNEY 2431 182 95 6442
FORD 2566 200 101 6050
FRANKLIN 3321 306 106 5925
GEARY 2660 158 71 3977
GOVE 296 44 33 1122
GRAHAM 346 47 23 1058
GRANT 683 39 8 2126
GRAY 482 27 20 1631
GREELEY 143 24 8 628
GREENWOOD 1027 81 61 2392
HAMILTON 264 15 12 901
HARPER 869 75 35 2076
HARVEY 4591 651 171 8271
HASKELL 263 16 14 1323
HODGEMAN 217 21 15 835
JACKSON 1990 123 136 3001
JEFFERSON 3000 321 133 4423
JEWELL 380 57 40 1400
JOHNSON 79118 6493 1960 129965
KEARNY 320 16 15 1084
KINGMAN 991 86 59 2672
KIOWA 294 34 18 1262
LABETTE 3745 230 88 4475
LANE 252 23 12 846
LEAVENWORTH 9733 679 276 12583
LINCOLN 469 98 28 1295
LINN 1587 91 68 2513
LOGAN 231 49 29 1088
LYON 5190 417 196 6652
MARION 1475 189 83 4156
MARSHALL 1831 134 84 3066
MCPHERSON 3272 534 154 8501
MEADE 400 33 16 1604
MIAMI 4554 294 148 6611
MITCHELL 751 115 50 2350
MONTGOMERY 4770 269 210 8496
MORRIS 882 104 56 1599
MORTON 321 19 14 1203
NEMAHA 1494 102 116 3578
NEOSHO 2588 194 90 4014
NESS 383 49 24 1420
NORTON 598 65 44 1744
OSAGE 2530 171 142 3770
OSBORNE 484 74 40 1432
OTTAWA 631 145 38 1977
PAWNEE 968 93 29 1850
PHILLIPS 611 85 39 2057
POTTAWATOMIE 2037 252 457 4985
PRATT 1314 149 68 2885
RAWLINS 306 49 36 1349
RENO 9025 877 349 15179
REPUBLIC 604 103 39 2239
RICE 1422 128 67 2903
RILEY 6188 1171 222 10672
ROOKS 597 105 57 2016
RUSH 505 82 32 1235
RUSSELL 886 121 41 2434
SALINE 7487 1367 261 12412
SCOTT 418 52 22 1811
SEDGWICK 62561 4669 2463 93724
SEWARD 1126 60 41 3869
SHAWNEE 34818 2529 1132 35894
SHERIDAN 281 55 21 1132
SHERMAN 681 60 47 1894
SMITH 534 79 37 1534
STAFFORD 567 54 33 1546
STANTON 215 16 13 785
STEVENS 345 34 18 1714
SUMNER 3549 306 201 6176
THOMAS 807 93 58 2822
TREGO 516 69 32 1220
WABAUNSEE 1025 96 117 2182
WALLACE 103 14 7 737
WASHINGTON 687 77 57 2446
WICHITA 207 15 9 859
WILSON 1186 100 61 2748
WOODSON 521 59 41 974
WYANDOTTE 32411 1287 550 14024
