COUNTY DEM OTH REP
COUNTY Clinton_D Other_O Trump_R
ALLEN 1433 370 3651
ANDERSON 672 243 2435
ATCHISON 1989 537 4049
BARBER 286 116 1850
BARTON 1839 542 7888
BOURBON 1336 333 4424
BROWN 863 267 2906
BUTLER 6573 2011 19073
CHASE 316 84 969
CHAUTAUQUA 197 48 1236
CHEROKEE 2005 433 6182
CHEYENNE 181 53 1173
CLARK 120 60 825
CLAY 677 252 2891
CLOUD 761 250 2919
COFFEY 727 291 3050
COMANCHE 102 50 715
COWLEY 3551 800 8270
CRAWFORD 5199 1068 8624
DECATUR 178 64 1210
DICKINSON 1609 572 6029
DONIPHAN 587 185 2606
DOUGLAS 31195 4204 14688
EDWARDS 212 70 1037
ELK 160 51 1048
ELLIS 2742 739 8466
ELLSWORTH 521 189 1969
FINNEY 3195 614 6350
FORD 2149 455 5114
FRANKLIN 2892 888 7185
GEARY 2722 508 4274
GOVE 149 54 1140
GRAHAM 188 71 1025
GRANT 441 144 1804
GRAY 263 105 1698
GREELEY 83 33 534
GREENWOOD 485 195 2160
HAMILTON 121 50 705
HARPER 393 189 1996
HARVEY 5068 1180 8668
HASKELL 245 69 1040
HODGEMAN 124 38 855
JACKSON 1512 367 3939
JEFFERSON 2518 606 5213
JEWELL 180 91 1223
JOHNSON 129852 22748 137490
KEARNY 174 67 1075
KINGMAN 599 205 2530
KIOWA 114 65 900
LABETTE 2291 481 5335
LANE 106 47 718
LEAVENWORTH 10209 2454 17638
LINCOLN 215 70 1179
LINN 736 207 3484
LOGAN 149 76 1132
LYON 4649 1087 6552
MARION 1204 417 4003
MARSHALL 1072 294 3307
MCPHERSON 3226 967 8549
MEADE 210 95 1415
MIAMI 3991 1028 10003
MITCHELL 477 157 2308
MONTGOMERY 2637 688 8679
MORRIS 601 203 1820
MORTON 147 50 995
NEMAHA 725 273 4124
NEOSHO 1501 382 4431
NESS 162 64 1228
NORTON 281 113 1840
OSAGE 1753 467 4826
OSBORNE 233 95 1460
OTTAWA 424 196 2283
PAWNEE 579 178 1904
PHILLIPS 300 131 2233
POTTAWATOMIE 2225 856 7612
PRATT 771 233 2838
RAWLINS 163 89 1220
RENO 6837 1860 15513
REPUBLIC 375 130 2024
RICE 695 272 2837
RILEY 9341 2084 10107
ROOKS 275 113 2031
RUSH 233 73 1197
RUSSELL 461 158 2574
SALINE 6317 1919 13828
SCOTT 236 101 1865
SEDGWICK 69627 14803 104353
SEWARD 1628 251 3159
SHAWNEE 33926 5546 35934
SHERIDAN 127 50 1197
SHERMAN 347 176 2089
SMITH 297 84 1661
STAFFORD 304 102 1490
STANTON 115 30 492
STEVENS 220 72 1599
SUMNER 2076 662 6984
THOMAS 473 195 2908
TREGO 198 57 1227
WABAUNSEE 776 232 2372
WALLACE 46 31 721
WASHINGTON 387 184 2194
WICHITA 140 47 769
WILSON 594 209 2788
WOODSON 273 88 1082
WYANDOTTE 30146 2829 15806
