COUNTY DEM GRN OTH REP
COUNTY Gore_D Nader_G Other_O Bush_R
ADAIR 1779 48 41 5460
ALLEN 1950 31 33 4415
ANDERSON 2902 120 36 4909
BALLARD 1880 23 43 1824
BARREN 4930 108 65 8741
BATH 2087 49 34 2303
BELL 4787 102 137 5585
BOONE 9248 485 235 22016
BOURBON 3048 126 47 3881
BOYD 9541 274 120 9247
BOYLE 3963 177 60 6126
BRACKEN 888 37 29 2065
BREATHITT 2902 57 30 2084
BRECKINRIDGE 2595 48 47 4763
BULLITT 8195 270 182 14054
BUTLER 1299 27 30 3654
CALDWELL 2223 54 44 3161
CALLOWAY 5635 236 97 7705
CAMPBELL 12040 720 280 20789
CARLISLE 1149 14 25 1405
CARROLL 1601 57 23 1818
CARTER 4182 97 63 4617
CASEY 1122 36 27 4284
CHRISTIAN 6778 137 71 10787
CLARK 4918 191 67 7297
CLAY 1723 28 42 4926
CLINTON 1032 24 25 3224
CRITTENDEN 1610 41 34 2469
CUMBERLAND 736 22 28 2220
DAVIESS 14126 506 247 21361
EDMONSON 1710 17 18 3250
ELLIOTT 1525 19 10 827
ESTILL 1591 51 35 3033
FAYETTE 47277 3052 653 54495
FLEMING 1813 43 41 3282
FLOYD 10088 129 109 5068
FRANKLIN 10853 449 143 10209
FULTON 1452 20 23 1293
GALLATIN 1049 38 27 1345
GARRARD 1713 43 24 4043
GRANT 2568 90 40 4405
GRAVES 6097 131 154 7849
GRAYSON 2604 58 53 5843
GREEN 1085 31 25 3615
GREENUP 7164 178 88 7233
HANCOCK 1508 49 21 2032
HARDIN 11095 437 194 18964
HARLAN 5365 110 80 4980
HARRISON 2658 114 46 3793
HART 2201 53 40 3725
HENDERSON 8054 217 70 7698
HENRY 2117 73 39 3244
HICKMAN 940 18 15 1151
HOPKINS 6734 160 105 9490
JACKSON 701 45 30 4079
JEFFERSON 149901 5935 1474 145052
JESSAMINE 4633 266 88 10074
JOHNSON 3251 85 61 4783
KENTON 19100 1293 493 35363
KNOTT 4349 42 38 2029
KNOX 3690 83 79 6058
LARUE 1727 41 27 3384
LAUREL 4856 138 97 13029
LAWRENCE 2258 47 33 2969
LEE 836 17 18 1893
LESLIE 1210 28 37 3159
LETCHER 4698 127 68 4092
LEWIS 1293 39 19 3217
LINCOLN 2678 71 53 4795
LIVINGSTON 2022 43 47 2118
LOGAN 3885 61 42 5344
LYON 1680 30 22 1688
MADISON 9309 525 150 13682
MAGOFFIN 2603 23 42 2785
MARION 2778 93 46 3259
MARSHALL 6203 140 124 7294
MARTIN 1714 36 39 2667
MASON 2178 88 35 3572
MCCRACKEN 11412 302 230 14745
MCCREARY 1418 38 22 3321
MCLEAN 1747 44 12 2219
MEADE 3596 104 52 5319
MENIFEE 1038 19 22 1170
MERCER 3092 129 49 5362
METCALFE 1318 41 14 2476
MONROE 1158 15 19 4377
MONTGOMERY 3833 87 65 4534
MORGAN 1875 44 26 2295
MUHLENBERG 6295 87 56 5518
NELSON 5481 212 81 7714
NICHOLAS 994 42 24 1613
OHIO 3303 103 63 5413
OLDHAM 6236 349 103 13580
OWEN 1394 68 26 2582
OWSLEY 339 10 11 1466
PENDLETON 1670 57 32 3044
PERRY 5514 103 83 5300
PIKE 13611 169 150 11005
POWELL 2008 63 33 2258
PULASKI 5415 178 103 15845
ROBERTSON 341 24 3 630
ROCKCASTLE 1174 45 36 3992
ROWAN 3505 136 39 3546
RUSSELL 1710 54 42 5268
SCOTT 5472 272 90 7952
SHELBY 4435 179 56 8068
SIMPSON 2583 38 34 3169
SPENCER 1554 35 33 3150
TAYLOR 2790 70 40 6151
TODD 1496 14 31 2646
TRIGG 2110 69 35 3130
TRIMBLE 1181 37 26 1837
UNION 2547 54 18 2749
WARREN 12180 407 153 20235
WASHINGTON 1458 59 27 3044
WAYNE 2312 45 48 4069
WEBSTER 2388 52 33 2599
WHITLEY 4101 107 64 7502
WOLFE 1136 11 11 1267
WOODFORD 3995 199 53 5890
