COUNTY DEM OTH REP
COUNTY Obama_D Other_O Mccain_R
ADAIR 1668 118 5512
ALLEN 2024 108 5258
ANDERSON 3462 205 6885
BALLARD 1427 96 2537
BARREN 5434 240 11133
BATH 2210 99 2234
BELL 2782 135 6681
BOONE 16292 670 33812
BOURBON 3385 125 4820
BOYD 8886 354 11430
BOYLE 4769 165 7701
BRACKEN 1241 92 2066
BREATHITT 2205 154 2671
BRECKINRIDGE 3110 131 5281
BULLITT 10177 447 20102
BUTLER 1555 56 3696
CALDWELL 2212 121 3866
CALLOWAY 6165 248 8991
CAMPBELL 15622 629 24046
CARLISLE 879 39 1699
CARROLL 1716 87 2032
CARTER 4316 245 5252
CASEY 1219 59 4679
CHRISTIAN 8880 199 13699
CLARK 5749 215 9664
CLAY 1552 102 5710
CLINTON 761 45 3366
CRITTENDEN 1254 72 2604
CUMBERLAND 697 44 2056
DAVIESS 19282 648 23692
EDMONSON 1652 56 3562
ELLIOTT 1535 78 902
ESTILL 1555 74 3685
FAYETTE 66042 1713 59884
FLEMING 2279 121 3432
FLOYD 7530 388 7741
FRANKLIN 11767 401 11911
FULTON 1238 57 1530
GALLATIN 1278 75 1840
GARRARD 2012 80 5118
GRANT 3112 132 5510
GRAVES 5843 256 10056
GRAYSON 3154 144 6605
GREEN 1204 90 3785
GREENUP 6621 328 8849
HANCOCK 2135 81 1928
HARDIN 15650 444 23896
HARLAN 2586 163 7165
HARRISON 2916 154 4520
HART 2290 131 4397
HENDERSON 10049 289 9523
HENRY 2725 113 4081
HICKMAN 812 32 1406
HOPKINS 7104 328 11916
JACKSON 743 74 4407
JEFFERSON 196435 3500 153957
JESSAMINE 6236 267 13711
JOHNSON 2407 162 5948
KENTON 26480 1019 40714
KNOTT 2612 138 3070
KNOX 3074 165 8150
LARUE 1913 112 4153
LAUREL 4618 222 17660
LAWRENCE 2036 110 3503
LEE 752 43 1978
LESLIE 766 57 3574
LETCHER 2623 245 5367
LEWIS 1510 68 3213
LINCOLN 2752 126 6273
LIVINGSTON 1622 81 2890
LOGAN 3811 154 6925
LYON 1577 58 2220
MADISON 12392 451 19694
MAGOFFIN 2105 112 2434
MARION 3596 177 3842
MARSHALL 5683 292 9512
MARTIN 808 60 2824
MASON 2891 128 4102
MCCRACKEN 11285 426 19043
MCCREARY 1258 71 4078
MCLEAN 1963 73 2386
MEADE 4343 172 6691
MENIFEE 1276 58 1155
MERCER 3159 120 6781
METCALFE 1350 115 2734
MONROE 1067 61 3537
MONTGOMERY 4234 150 5947
MORGAN 1879 104 2396
MUHLENBERG 6221 221 6447
NELSON 7654 353 10139
NICHOLAS 1272 64 1634
OHIO 4059 192 5687
OLDHAM 10000 319 18997
OWEN 1694 88 2969
OWSLEY 381 26 1279
PENDLETON 2027 99 3676
PERRY 3444 169 6762
PIKE 9525 463 12655
POWELL 2065 70 2837
PULASKI 5590 314 19862
ROBERTSON 451 31 533
ROCKCASTLE 1410 107 4757
ROWAN 4074 173 3907
RUSSELL 1569 127 5779
SCOTT 7712 236 11782
SHELBY 6871 218 11451
SIMPSON 2775 97 4437
SPENCER 2519 152 5378
TAYLOR 3165 127 7568
TODD 1543 62 3336
TRIGG 2246 92 4189
TRIMBLE 1484 89 2239
UNION 2804 110 3120
WARREN 17669 483 25993
WASHINGTON 1890 80 3305
WAYNE 2201 127 4868
WEBSTER 2390 113 3037
WHITLEY 3484 205 10015
WOLFE 1493 67 1408
WOODFORD 5027 140 7130
