COUNTY DEM GRN OTH REP
COUNTY Gore_D Nader_G Other_O Bush_R
ACADIA 8892 227 305 13814
ALLEN 3914 115 228 4035
ASCENSION 13385 340 301 16818
ASSUMPTION 5222 119 324 4388
AVOYELLES 6701 170 453 7329
BEAUREGARD 3958 155 230 7862
BIENVILLE 3413 50 274 3269
BOSSIER 11933 295 463 23224
CADDO 47530 734 568 46807
CALCASIEU 33919 895 736 38086
CALDWELL 1359 37 115 2817
CAMERON 1435 46 109 2593
CATAHOULA 1718 28 107 2912
CLAIBORNE 2721 35 141 3384
CONCORDIA 3569 54 249 4627
"DE SOTO" 5036 67 233 5260
"EAST BATON ROUGE" 76516 2105 1240 89128
"EAST CARROLL" 1876 16 73 1280
"EAST FELICIANA" 3870 60 118 4051
EVANGELINE 5763 140 419 7290
FRANKLIN 2792 51 150 5363
GRANT 2099 57 115 4784
IBERIA 11762 365 657 17236
IBERVILLE 8355 175 400 5573
JACKSON 2582 53 124 4347
JEFFERSON 70411 2293 1444 105003
"JEFFERSON DAVIS" 5162 143 296 6945
"LA SALLE" 1397 57 90 4564
LAFAYETTE 27190 1510 1102 48491
LAFOURCHE 14627 424 823 18575
LINCOLN 6851 124 330 9246
LIVINGSTON 11008 384 584 24889
MADISON 2489 37 90 2127
MOREHOUSE 5289 103 288 6641
"NATCHITOCHES" 6924 109 492 7332
ORLEANS 137630 3025 1162 39404
OUACHITA 21457 529 1118 35107
PLAQUEMINES 4425 104 100 6302
"POINTE COUPEE" 5813 108 201 4710
RAPIDES 18898 446 849 28831
"RED RIVER" 2177 35 110 2200
RICHLAND 3282 51 257 4895
SABINE 2846 81 181 5754
"ST. BERNARD" 11682 397 287 16255
"ST. CHARLES" 8918 215 396 11981
"ST. HELENA" 3059 65 165 1965
"ST. JAMES" 6523 61 308 3813
"ST. JOHN THE BAPTIST" 9745 164 381 7423
"ST. LANDRY" 18067 225 410 15449
"ST. MARTIN" 9853 268 696 9961
"ST. MARY" 9851 214 420 11325
"ST. TAMMANY" 22722 1199 623 59193
TANGIPAHOA 15843 405 486 20421
TENSAS 1580 20 80 1330
TERREBONNE 14414 310 637 21314
UNION 3205 66 300 5772
VERMILION 8704 307 729 12495
VERNON 4655 151 227 8794
WASHINGTON 7399 126 379 8983
WEBSTER 7197 120 353 9420
"WEST BATON ROUGE" 5058 69 118 4924
"WEST CARROLL" 1319 25 111 3220
"WEST FELICIANA" 2187 62 99 2512
WINN 2167 52 114 4028
