COUNTY DEM OTH REP
COUNTY Obama_D Other_O Mccain_R
ACADIA 7028 454 19228
ALLEN 2891 243 6333
ASCENSION 14625 707 31239
ASSUMPTION 4756 223 5981
AVOYELLES 6327 375 10236
BEAUREGARD 3071 285 10718
BIENVILLE 3589 65 3776
BOSSIER 12701 419 32706
CADDO 55220 895 52105
CALCASIEU 30244 1438 50449
CALDWELL 1118 79 3696
CAMERON 613 95 3089
CATAHOULA 1659 80 3486
CLAIBORNE 3025 66 3750
CONCORDIA 3766 93 5668
"DE SOTO" 5242 132 6883
"EAST BATON ROUGE" 99652 2307 95390
"EAST CARROLL" 2267 38 1254
"EAST FELICIANA" 4383 132 5432
EVANGELINE 5853 330 9793
FRANKLIN 2959 119 6278
GRANT 1474 177 6906
IBERIA 12492 549 20127
IBERVILLE 9023 213 7185
JACKSON 2456 90 5190
JEFFERSON 65096 2833 113191
"JEFFERSON DAVIS" 3923 300 9278
"LA SALLE" 860 91 5602
LAFAYETTE 32145 1442 62055
LAFOURCHE 9662 1142 27089
LINCOLN 8267 207 10676
LIVINGSTON 6681 942 43269
MADISON 3100 48 2152
MOREHOUSE 5792 150 7258
"NATCHITOCHES" 7801 212 9054
ORLEANS 116042 2204 28041
OUACHITA 24813 690 41741
PLAQUEMINES 3380 175 6894
"POINTE COUPEE" 5516 217 6702
RAPIDES 20127 783 36611
"RED RIVER" 2080 65 2484
RICHLAND 3311 119 5751
SABINE 2245 181 7226
"ST. BERNARD" 3491 407 9642
"ST. CHARLES" 8522 418 16457
"ST. HELENA" 3567 95 2522
"ST. JAMES" 6994 138 5432
"ST. JOHN THE BAPTIST" 12424 320 8912
"ST. LANDRY" 20268 575 21650
"ST. MARTIN" 9419 390 14443
"ST. MARY" 9345 375 13183
"ST. TAMMANY" 24589 1867 83047
TANGIPAHOA 16438 730 31434
TENSAS 1646 27 1367
TERREBONNE 11579 905 28208
UNION 3103 146 7619
VERMILION 6266 498 18069
VERNON 3534 289 11946
WASHINGTON 6122 287 12215
WEBSTER 6610 243 11417
"WEST BATON ROUGE" 5043 169 6654
"WEST CARROLL" 878 64 4045
"WEST FELICIANA" 2414 55 3149
WINN 2047 93 4632
