COUNTY DEM LIB OTH REP
COUNTY Biden_D Jorgensen_L Other_O Trump_R
ACADIA 5443 241 145 22596
ALLEN 2108 73 55 7574
ASCENSION 20399 816 423 40687
ASSUMPTION 3833 68 63 7271
AVOYELLES 4979 161 124 12028
BEAUREGARD 2542 172 68 13575
BIENVILLE 3067 49 43 3891
BOSSIER 15662 632 287 38074
CADDO 55110 1021 760 48021
CALCASIEU 25982 1083 532 55066
CALDWELL 745 21 20 3976
CAMERON 324 23 21 3671
CATAHOULA 1269 26 22 3541
CLAIBORNE 2731 29 50 3770
CONCORDIA 3177 64 37 5550
"DE SOTO" 5457 79 88 9112
"EAST BATON ROUGE" 115577 2440 1745 88420
"EAST CARROLL" 1900 20 36 1080
"EAST FELICIANA" 4280 89 76 6064
EVANGELINE 4158 96 105 11053
FRANKLIN 2658 45 47 6970
GRANT 1157 79 39 8117
IBERIA 11027 253 182 21251
IBERVILLE 8514 141 171 7893
JACKSON 2143 51 44 5394
JEFFERSON 84477 1935 1372 105949
"JEFFERSON DAVIS" 3208 131 79 11423
"LA SALLE" 638 39 22 6378
LAFAYETTE 39685 1512 805 72519
LAFOURCHE 8672 424 268 36024
LINCOLN 7559 276 129 11311
LIVINGSTON 9249 817 287 54877
MADISON 2654 23 63 1930
MOREHOUSE 4946 56 62 6510
"NATCHITOCHES" 6896 172 128 9358
ORLEANS 147854 1603 1698 26664
OUACHITA 25913 624 374 42255
PLAQUEMINES 3414 103 85 7412
"POINTE COUPEE" 4683 94 91 7503
RAPIDES 19475 693 350 38347
"RED RIVER" 1644 31 44 2413
RICHLAND 3225 53 55 6607
SABINE 1731 49 40 8776
"ST. BERNARD" 6151 188 132 11179
"ST. CHARLES" 9800 294 190 18233
"ST. HELENA" 3346 43 55 2714
"ST. JAMES" 6510 47 79 5954
"ST. JOHN THE BAPTIST" 13582 118 194 7538
"ST. LANDRY" 17372 301 310 23171
"ST. MARTIN" 8439 205 191 18203
"ST. MARY" 8055 173 147 14811
"ST. TAMMANY" 37746 1868 830 99666
TANGIPAHOA 18887 589 379 37806
TENSAS 1329 11 17 1197
TERREBONNE 11198 434 269 34339
UNION 2654 76 64 8407
VERMILION 5009 228 157 21930
VERNON 2898 188 75 14107
WASHINGTON 5970 120 116 13307
WEBSTER 6172 119 95 11830
"WEST BATON ROUGE" 6200 122 91 7684
"WEST CARROLL" 710 12 13 4317
"WEST FELICIANA" 2298 66 41 3863
WINN 1543 36 27 4619
