COUNTY DEM GRN OTH REP
COUNTY Gore_D Nader_G Other_O Bush_R
BARNSTABLE 62363 7976 1061 49686
BERKSHIRE 37934 4472 1200 15805
BRISTOL 136325 9554 2610 62848
DUKES 5474 983 84 2315
ESSEX 178400 17955 3968 110010
FRANKLIN 17945 4627 618 10176
HAMPDEN 100103 10326 2106 59558
HAMPSHIRE 38543 10010 871 19202
MIDDLESEX 404043 45529 8562 198914
"NANTUCKET" 2874 378 50 1624
NORFOLK 188450 17505 4189 107033
PLYMOUTH 115376 11021 2429 82751
SUFFOLK 154888 15051 2620 44441
WORCESTER 173769 18177 4063 114139
