COUNTY DEM OTH REP
COUNTY Obama_D Other_O Mccain_R
ALLEGANY 10693 644 18405
"ANNE ARUNDEL" 125015 4922 129682
BALTIMORE 214151 8073 158714
"BALTIMORE CITY" 214385 2902 28681
CALVERT 20299 663 23095
CAROLINE 4971 232 8015
CARROLL 28060 2197 54503
CECIL 17665 974 23855
CHARLES 43635 760 25732
DORCHESTER 6912 194 8168
FREDERICK 54013 2003 55170
GARRETT 3736 233 8903
HARFORD 48552 2992 71751
HOWARD 87120 2720 55393
KENT 4953 162 4905
MONTGOMERY 314444 6209 118608
"PRINCE GEORGE'S" 332396 2797 38833
"QUEEN ANNE'S" 8575 383 15087
SOMERSET 4779 108 5037
"ST. MARY'S" 19023 681 24705
TALBOT 9035 298 10995
WASHINGTON 26245 1186 34169
WICOMICO 19436 569 21849
WORCESTER 11374 365 15607
