COUNTY DEM GRN LIB OTH REP
COUNTY Biden_D Other_G Jorgensen_L Other_O Trump_R
ALLEGANY 9158 120 308 169 20886
"ANNE ARUNDEL" 172823 1247 4652 3074 127821
BALTIMORE 258409 1820 4927 3574 146202
"BALTIMORE CITY" 207260 1338 1761 1728 25374
CALVERT 22587 127 733 320 25346
CAROLINE 5095 90 229 97 10283
CARROLL 36456 537 2028 1088 60218
CECIL 16809 229 706 279 29439
CHARLES 62171 408 769 571 25579
DORCHESTER 6857 97 174 85 8764
FREDERICK 77675 686 2282 1290 63682
GARRETT 3281 64 212 52 12002
HARFORD 63095 577 2473 1111 80930
HOWARD 129433 785 2471 1983 48390
KENT 5329 68 117 85 5195
MONTGOMERY 419569 3091 4247 5614 101222
"PRINCE GEORGE'S" 379208 3349 1810 3398 37090
"QUEEN ANNE'S" 10709 164 411 265 18741
SOMERSET 4241 38 82 47 5739
"ST MARY'S" 23138 200 1112 389 30826
TALBOT 11062 83 274 190 10946
WASHINGTON 26044 309 836 366 40224
WICOMICO 22054 292 538 388 22944
WORCESTER 12560 80 336 144 18571
