COUNTY DEM GRN OTH REP
COUNTY Gore_D Nader_G Other_O Bush_R
ANDROSCOGGIN 26251 2388 658 19948
AROOSTOOK 17196 1055 337 16555
CUMBERLAND 74203 8576 1298 58543
FRANKLIN 7593 1115 281 6459
HANCOCK 12983 2513 346 12732
KENNEBEC 31198 2955 787 23967
KNOX 9453 1810 270 8968
LINCOLN 8634 1323 257 9457
"MAINE UOCAVA" 0 0 0 0
OXFORD 13649 1509 500 11835
PENOBSCOT 32868 3772 946 35620
PISCATAQUIS 3745 471 195 4845
SAGADAHOC 8844 1278 232 8052
SOMERSET 11538 1239 490 10684
WALDO 8477 1690 282 8689
WASHINGTON 6701 802 247 7958
YORK 46618 4631 997 42304
