COUNTY DEM GRN LIB OTH REP
COUNTY Biden_D Other_G Jorgensen_L Other_O Trump_R
ANDROSCOGGIN 27617 603 1105 768 29268
AROOSTOOK 13956 233 421 520 21080
CUMBERLAND 128759 2154 2957 2460 59584
FRANKLIN 8069 183 353 240 8754
HANCOCK 19369 380 549 396 14982
KENNEBEC 34902 730 1406 856 34721
KNOX 15110 248 355 337 9982
LINCOLN 12684 199 420 298 10256
OXFORD 14755 347 650 360 17698
PENOBSCOT 37713 746 1854 995 44825
PISCATAQUIS 3517 60 173 103 6143
SAGADAHOC 13528 249 473 275 9755
SOMERSET 10199 230 466 334 16644
WALDO 12345 347 402 276 11196
WASHINGTON 6761 143 232 240 10194
YORK 71189 1259 2189 1588 54817
