COUNTY DEM GRN OTH REP
COUNTY Gore_D Nader_G Other_O Bush_R
ALCONA 2696 124 25 3152
ALGER 2071 126 27 2142
ALLEGAN 15495 930 269 28197
ALPENA 7053 262 48 6769
ANTRIM 4329 312 86 6780
ARENAC 3685 117 44 3421
BARAGA 1400 141 16 1836
BARRY 9769 612 147 15716
BAY 28251 972 263 22150
BENZIE 3546 312 42 4172
BERRIEN 28152 1154 246 35689
BRANCH 6691 279 70 8743
CALHOUN 27312 1176 301 26291
CASS 8808 371 101 10545
CHARLEVOIX 4958 424 87 7018
CHEBOYGAN 5484 257 61 6815
CHIPPEWA 6370 361 97 7526
CLARE 6287 262 121 5937
CLINTON 13394 602 149 18054
CRAWFORD 2790 176 53 3345
DELTA 7970 390 85 8871
DICKINSON 5533 301 66 6932
EATON 23211 989 269 24803
EMMET 5451 534 124 8602
GENESEE 119833 3623 768 66641
GLADWIN 5573 227 86 5743
GOGEBIC 4066 285 59 3929
"GRAND TRAVERSE" 14371 1263 237 22358
GRATIOT 6538 265 64 8312
HILLSDALE 6495 363 132 10483
HOUGHTON 5688 518 115 7895
HURON 6899 230 55 8911
INGHAM 69231 3290 760 47314
IONIA 9481 423 151 13915
IOSCO 6505 308 64 6345
IRON 3014 160 47 2967
ISABELLA 10228 666 122 10053
JACKSON 28160 1329 391 32066
KALAMAZOO 48807 3086 509 48254
KALKASKA 2774 173 60 3842
KENT 95442 5019 1255 148602
KEWEENAW 540 53 10 740
LAKE 2584 110 38 1961
LAPEER 15749 794 340 20351
LEELANAU 4635 456 78 6840
LENAWEE 18365 760 287 20681
LIVINGSTON 28780 1498 560 44637
LUCE 956 74 26 1480
MACKINAC 2533 136 29 3272
MACOMB 172625 6145 2524 164265
MANISTEE 5639 320 68 5401
MARQUETTE 15503 936 163 12577
MASON 5579 301 70 7066
MECOSTA 6300 325 57 8072
MENOMINEE 4597 269 39 5529
MIDLAND 15959 794 248 21887
MISSAUKEE 2062 123 37 4274
MONROE 31555 996 304 28940
MONTCALM 9627 483 98 12696
MONTMORENCY 2139 92 28 2750
MUSKEGON 37865 1131 246 30028
NEWAYGO 7677 361 120 11399
OAKLAND 281201 10382 4363 274319
OCEANA 4597 211 51 5913
OGEMAW 4896 191 62 4706
ONTONAGON 1514 135 30 2472
OSCEOLA 4006 186 58 5680
OSCODA 1677 88 20 2207
OTSEGO 4034 315 48 6108
OTTAWA 29600 1866 430 78703
"PRESQUE ISLE" 3242 136 42 3660
ROSCOMMON 6433 256 49 6190
SAGINAW 50825 1418 361 41152
SANILAC 7153 320 127 10966
SCHOOLCRAFT 2036 56 18 2088
SHIAWASSEE 15520 639 243 15816
"ST. CLAIR" 33002 1341 602 33571
"ST. JOSEPH" 8574 434 110 12906
TUSCOLA 10845 454 140 13213
"VAN BUREN" 13796 686 208 14792
WASHTENAW 86647 4843 991 52459
WAYNE 530414 11287 3905 223021
WEXFORD 5326 352 89 7215
