COUNTY DEM OTH REP
COUNTY Clinton_D Other_O Trump_R
ALCONA 1732 265 4201
ALGER 1663 270 2585
ALLEGAN 18050 3553 34183
ALPENA 4877 731 9090
ANTRIM 4448 665 8469
ARENAC 2384 362 4950
BARAGA 1156 176 2158
BARRY 9114 2013 19202
BAY 21642 3007 28328
BENZIE 4108 581 5539
BERRIEN 29495 3889 38647
BRANCH 5061 816 11786
CALHOUN 24157 3251 31494
CASS 7270 1082 14243
CHARLEVOIX 5137 778 8674
CHEBOYGAN 4302 687 8683
CHIPPEWA 5379 955 9122
CLARE 4249 635 8505
CLINTON 16492 2527 21636
CRAWFORD 2110 380 4354
DELTA 6436 935 11121
DICKINSON 3923 662 8580
EATON 24938 3674 27609
EMMET 6972 1214 10616
GENESEE 102751 9370 84175
GLADWIN 3794 554 8124
GOGEBIC 2925 386 4018
"GRAND TRAVERSE" 20965 3211 27413
GRATIOT 5666 919 9880
HILLSDALE 4799 1046 14095
HOUGHTON 6018 1131 8475
HURON 4579 646 10692
INGHAM 79110 8160 43868
IONIA 8352 1867 16635
IOSCO 4345 671 8345
IRON 2004 231 3675
ISABELLA 11404 1650 12338
JACKSON 25795 4089 39793
KALAMAZOO 67148 8117 51034
KALKASKA 2280 437 6116
KENT 138683 21321 148180
KEWEENAW 527 93 814
LAKE 1939 230 3159
LAPEER 12734 2412 30037
LEELANAU 6774 744 7239
LENAWEE 16750 2759 26430
LIVINGSTON 34384 5802 65680
LUCE 681 142 1756
MACKINAC 2085 268 3744
MACOMB 176317 18330 224665
MANISTEE 4979 705 6915
MARQUETTE 16042 2288 14646
MASON 5281 899 8505
MECOSTA 5827 1036 10305
MENOMINEE 3539 527 6702
MIDLAND 15635 3025 23846
MISSAUKEE 1565 366 5386
MONROE 26863 4094 43261
MONTCALM 7874 1828 16907
MONTMORENCY 1287 224 3498
MUSKEGON 37304 4657 36127
NEWAYGO 6212 1255 15173
OAKLAND 343070 32341 289203
OCEANA 3973 729 7228
OGEMAW 3030 530 6827
ONTONAGON 1176 184 2066
OSCEOLA 2705 568 7336
OSCODA 1044 186 2843
OTSEGO 3556 716 8266
OTTAWA 44973 9294 88467
"PRESQUE ISLE" 2400 330 4488
ROSCOMMON 4287 613 8141
SAGINAW 44396 4455 45469
SANILAC 4873 930 13446
SCHOOLCRAFT 1369 229 2556
SHIAWASSEE 12546 2335 19230
"ST. CLAIR" 24553 4399 49051
"ST. JOSEPH" 7526 1347 14884
TUSCOLA 7429 1265 17102
"VAN BUREN" 13258 2126 17890
WASHTENAW 128483 9464 50631
WAYNE 519444 29401 228993
WEXFORD 4436 862 10000
