COUNTY DEM GRN LIB OTH REP
COUNTY Biden_D Other_G Jorgensen_L Other_O Trump_R
ALCONA 2142 11 50 13 4848
ALGER 2053 9 41 11 3014
ALLEGAN 24449 143 943 167 41392
ALPENA 6000 28 220 35 10686
ANTRIM 5960 28 189 24 9748
ARENAC 2774 12 97 20 5928
BARAGA 1478 10 31 7 2512
BARRY 11797 83 479 75 23471
BAY 26151 155 688 136 33125
BENZIE 5480 29 128 24 6601
BERRIEN 37438 173 1062 199 43519
BRANCH 6159 47 216 50 14064
CALHOUN 28877 137 890 156 36221
CASS 9130 45 286 56 16699
CHARLEVOIX 6939 43 160 17 9841
CHEBOYGAN 5437 23 196 26 10186
CHIPPEWA 6648 39 233 41 10681
CLARE 5199 34 162 25 10861
CLINTON 21968 94 659 108 25098
CRAWFORD 2672 24 69 9 5087
DELTA 7606 42 249 47 13207
DICKINSON 4744 15 187 26 9617
EATON 31299 166 895 169 31798
EMMET 9662 59 284 37 12135
GENESEE 119390 549 2234 473 98714
GLADWIN 4524 25 142 19 9893
GOGEBIC 3570 21 67 8 4600
"GRAND TRAVERSE" 28683 151 796 104 30502
GRATIOT 6693 49 240 43 12102
HILLSDALE 5883 56 261 65 17037
HOUGHTON 7750 49 285 39 10378
HURON 5490 32 145 39 12731
INGHAM 94212 456 1873 370 47639
IONIA 10901 79 490 82 20657
IOSCO 5373 33 152 46 9759
IRON 2493 14 54 12 4216
ISABELLA 14072 102 365 67 14815
JACKSON 31995 213 1113 168 47372
KALAMAZOO 83686 494 2064 347 56823
KALKASKA 3002 24 142 27 7436
KENT 187915 957 5495 940 165741
KEWEENAW 672 4 17 2 862
LAKE 2288 12 65 12 3946
LAPEER 16367 113 573 115 35482
LEELANAU 8795 40 134 15 7916
LENAWEE 20918 119 690 107 31541
LIVINGSTON 48220 263 1511 221 76982
LUCE 842 8 27 15 2109
MACKINAC 2632 13 56 10 4304
MACOMB 223952 1149 4462 830 263863
MANISTEE 6107 34 154 39 8321
MARQUETTE 20465 131 511 69 16286
MASON 6802 57 143 45 10207
MECOSTA 7375 51 303 53 13267
MENOMINEE 4316 24 125 25 8117
MIDLAND 20493 116 701 103 27675
MISSAUKEE 1967 16 111 13 6648
MONROE 32975 193 1086 184 52710
MONTCALM 9703 56 428 98 21815
MONTMORENCY 1628 11 11 38 4171
MUSKEGON 45643 269 1219 180 45133
NEWAYGO 7873 56 331 44 18857
OAKLAND 434148 1746 7282 1204 325971
OCEANA 4944 25 166 35 8892
OGEMAW 3475 26 134 19 8253
ONTONAGON 1391 13 30 12 2358
OSCEOLA 3214 28 135 24 8928
OSCODA 1342 11 39 16 3466
OTSEGO 4743 26 177 32 9779
OTTAWA 64705 367 2315 413 100913
"PRESQUE ISLE" 2911 5 70 16 5342
ROSCOMMON 5166 25 121 36 9670
SAGINAW 51088 231 1007 238 50785
SANILAC 5966 40 213 33 16194
SCHOOLCRAFT 1589 12 40 14 3090
SHIAWASSEE 15347 98 524 106 23149
"ST. CLAIR" 31363 213 1109 194 59185
"ST. JOSEPH" 9262 63 416 68 18127
TUSCOLA 8712 54 327 55 20297
"VAN BUREN" 16803 91 504 77 21591
WASHTENAW 157136 651 1956 434 56241
WAYNE 597170 2463 6567 1716 264553
WEXFORD 5838 42 259 24 12102
