COUNTY DEM OTH REP
COUNTY Obama_D Other_O Romney_R
AITKIN 4412 197 4533
ANOKA 88614 4421 93430
BECKER 6829 349 9204
BELTRAMI 11818 596 9637
BENTON 8173 597 10849
"BIG STONE" 1345 59 1385
"BLUE EARTH" 18164 1194 14916
BROWN 5630 361 7938
CARLTON 11389 461 6586
CARVER 20745 999 31155
CASS 6858 326 8957
CHIPPEWA 3083 151 2967
CHISAGO 12524 690 16227
CLAY 15208 758 12920
CLEARWATER 1753 85 2359
COOK 1993 108 1221
COTTONWOOD 2433 113 3316
"CROW WING" 14760 745 19415
DAKOTA 116255 5050 109516
DODGE 4487 318 5522
DOUGLAS 8653 416 11884
FARIBAULT 3407 202 4104
FILLMORE 5713 266 4913
FREEBORN 9326 411 6969
GOODHUE 12212 603 12986
GRANT 1647 92 1748
HENNEPIN 423982 16010 240073
HOUSTON 5281 214 4951
HUBBARD 4676 222 6622
ISANTI 8024 518 11675
ITASCA 12852 566 10501
JACKSON 2268 118 3044
KANABEC 3593 229 4328
KANDIYOHI 9805 420 11240
KITTSON 1241 84 1095
KOOCHICHING 3451 166 2841
"LAC QUI PARLE" 1974 72 1938
LAKE 4043 167 2610
"LAKE OF THE WOODS" 859 69 1306
"LE SUEUR" 6753 327 7715
LINCOLN 1429 96 1595
LYON 5465 329 6594
MAHNOMEN 1276 35 871
MARSHALL 1998 131 2569
MARTIN 4054 257 6657
MCLEOD 6968 516 11069
MEEKER 4969 332 6913
"MILLE LACS" 5829 311 6951
MORRISON 6153 402 10159
MOWER 11129 472 6938
MURRAY 2160 103 2504
NICOLLET 9652 491 8214
NOBLES 3793 146 4581
NORMAN 1730 93 1384
OLMSTED 39338 2146 36832
"OTTER TAIL" 12165 645 18860
PENNINGTON 3024 188 3305
PINE 6750 370 6845
PIPESTONE 1725 95 2826
POLK 6773 305 7615
POPE 2981 123 3142
RAMSEY 184938 7084 86800
"RED LAKE" 928 69 978
REDWOOD 3008 212 4570
RENVILLE 3394 167 4149
RICE 17054 829 14384
ROCK 1946 90 2810
ROSEAU 2772 171 4409
"SAINT LOUIS" 73378 3085 39131
SCOTT 29712 1612 40323
SHERBURNE 17597 1064 27848
SIBLEY 2916 206 4693
STEARNS 33551 1911 43015
STEELE 8706 515 9903
STEVENS 2742 144 2766
SWIFT 2751 120 2248
TODD 4819 265 6719
TRAVERSE 943 43 861
WABASHA 5415 299 6049
WADENA 2492 156 4143
WASECA 4370 261 5116
WASHINGTON 70203 2793 69137
WATONWAN 2494 133 2517
WILKIN 1258 80 1884
WINONA 14980 772 11480
WRIGHT 25741 1609 40466
"YELLOW MEDICINE" 2465 143 2806
