COUNTY DEM REP LegMar LegCan WriteIn
COUNTY DEM REP LegMar LegCan WriteIn
Aitkin 3474 5761 462 143 5
Anoka 89416 98043 15385 3842 118
Becker 6370 11274 1069 297 9
Beltrami 9987 11468 1804 564 22
Benton 6835 12915 1539 465 17
"Big Stone" 1106 1637 163 39 3
"Blue Earth" 16527 15040 2847 871 41
Brown 4808 8736 690 224 10
Carlton 9577 8906 1092 361 11
Carver 27616 33623 3292 928 38
Cass 5913 10877 966 333 16
Chippewa 2270 3807 358 90 3
Chisago 11014 19700 2340 692 20
Clay 15136 13308 2348 716 29
Clearwater 1224 3078 242 69 5
Cook 2344 1162 133 73 4
Cottonwood 1794 3796 321 80 1
"Crow Wing" 12964 23792 2032 774 16
Dakota 131394 107117 15318 4162 196
Dodge 4013 6924 806 248 6
Douglas 7617 14775 1055 321 14
Faribault 2531 4624 444 148 3
Fillmore 4696 6440 625 205 6
Freeborn 6797 8364 1057 313 10
Goodhue 11186 15171 1486 489 25
Grant 1349 2044 163 39 1
Hennepin 478129 209754 41282 12130 496
Houston 4478 5778 700 243 8
Hubbard 4281 7713 572 232 7
Isanti 6751 14774 1671 608 20
Itasca 10463 13949 1353 458 14
Jackson 1744 3524 323 115 2
Kanabec 2612 5657 577 185 3
Kandiyohi 8117 13388 1151 312 16
Kittson 1116 1350 98 32 1
Koochiching 2637 3629 365 114 3
"Lac Qui Parle" 1477 2314 139 52 1
Lake 3485 3155 332 144 4
"Lake Of The Woods" 650 1545 121 37 1
"Le Sueur" 5401 9825 969 297 5
Lincoln 911 1936 183 49 4
Lyon 4464 7401 668 195 14
Mahnomen 1039 1007 169 48 3
Marshall 1490 3255 198 62 6
Martin 3348 6707 613 200 6
McLeod 6114 12875 1223 393 19
Meeker 3889 8575 664 221 7
"Mille Lacs" 4123 8851 1025 334 15
Morrison 4452 13368 1012 307 7
Mower 8472 8615 1380 385 7
Murray 1448 3081 221 52 1
Nicollet 8992 8397 1062 412 13
Nobles 2776 4959 543 162 5
Norman 1497 1617 193 48 2
Olmsted 45543 36972 4730 1604 60
"Otter Tail" 11728 21738 1817 510 19
Pennington 2574 3919 566 133 5
Pine 5055 9341 1005 310 5
Pipestone 1200 3324 264 71 3
Polk 5577 8559 917 236 10
Pope 2390 4135 290 77 4
Ramsey 188784 73638 19087 6158 324
"Red Lake" 769 1222 114 33 3
Redwood 2297 5415 355 114 5
Renville 2500 4927 390 122 6
Rice 16201 15999 2138 701 24
Rock 1461 3286 294 98 1
Roseau 2321 5494 396 95 4
Scott 35758 44215 5218 1269 46
Sherburne 16584 33145 3702 974 42
Sibley 2368 5391 426 112 5
"St. Louis" 63036 45016 6545 2451 87
Stearns 29931 47080 4843 1484 64
Steele 7412 11358 1381 435 5
Stevens 1906 2848 192 67 0
Swift 1838 3020 226 63 1
Todd 3354 8842 650 205 10
Traverse 656 1045 98 27 3
Wabasha 4513 7535 643 190 5
Wadena 1977 5041 419 137 4
Waseca 3365 6043 629 172 4
Washington 80479 71906 8382 2679 106
Watonwan 1960 2752 298 81 3
Wilkin 1095 1988 203 71 1
Winona 12002 11961 1813 594 20
Wright 25896 48173 5009 1523 60
"Yellow Medicine" 1678 3436 270 65 3
NA NA NA NA NA NA
