COUNTY DEM GRN OTH REP
COUNTY Gore_D Nader_G Other_O Bush_R
ADAIR 4101 301 100 6050
ANDREW 2795 128 94 4257
ATCHISON 1013 35 25 1798
AUDRAIN 4551 113 65 5256
BARRY 4135 193 155 7885
BARTON 1424 75 31 3836
BATES 3386 84 77 4245
BENTON 3150 97 69 4218
BOLLINGER 1692 41 74 3487
BOONE 28811 1894 478 28426
BUCHANAN 17085 776 467 16423
BUTLER 4996 149 141 9111
CALDWELL 1488 76 66 2220
CALLAWAY 6708 220 142 8238
CAMDEN 6323 258 160 10358
"CAPE GIRARDEAU" 9334 376 317 19832
CARROLL 1620 54 27 2880
CARTER 997 40 41 1730
CASS 14921 511 324 20113
CEDAR 1979 81 73 3530
CHARITON 1792 30 32 2300
CHRISTIAN 7896 279 229 14824
CLARK 1812 53 38 1899
CLAY 39084 1427 579 39083
CLINTON 3994 124 90 4323
COLE 12056 370 182 20167
COOPER 2567 78 73 4072
CRAWFORD 3350 100 98 4754
DADE 1193 42 49 2468
DALLAS 2311 76 109 3723
DAVIESS 1367 58 58 2011
DEKALB 1562 63 61 2363
DENT 1839 66 87 3996
DOUGLAS 1546 54 82 3599
DUNKLIN 4947 78 74 5426
FRANKLIN 16172 670 489 21863
GASCONADE 2257 110 72 4190
GENTRY 1271 39 24 1771
GREENE 41091 1760 897 59178
GRUNDY 1563 102 67 2976
HARRISON 1328 62 49 2552
HENRY 4459 125 74 5120
HICKORY 1961 54 51 2172
HOLT 871 23 30 1738
HOWARD 1944 83 71 2414
HOWELL 4641 197 219 9018
IRON 2044 64 69 2237
JACKSON 160419 5041 2184 104418
JASPER 11737 574 271 24899
JEFFERSON 38616 1182 640 36766
JOHNSON 6926 321 201 9339
"KANSAS CITY" 0 0 0 0
KNOX 787 24 18 1226
LACLEDE 4183 142 165 8556
LAFAYETTE 6343 205 123 7849
LAWRENCE 4235 177 186 8305
LEWIS 2023 34 39 2388
LINCOLN 6961 224 179 8549
LINN 2646 66 52 3246
LIVINGSTON 2425 98 44 3709
MACON 2817 75 51 4232
MADISON 1828 42 43 2460
MARIES 1554 32 52 2216
MARION 4993 87 82 6550
MCDONALD 1866 107 96 4460
MERCER 555 20 17 1250
MILLER 3217 133 61 5945
MISSISSIPPI 2756 29 35 2395
MONITEAU 2176 60 65 3764
MONROE 1860 20 39 2175
MONTGOMERY 2092 70 35 3106
MORGAN 3235 87 99 4460
"NEW MADRID" 3738 45 67 3416
NEWTON 6447 326 157 14232
NODAWAY 3553 215 120 5161
OREGON 1568 60 84 2521
OSAGE 1938 50 36 4154
OZARK 1432 118 79 2663
PEMISCOT 3245 37 28 2750
PERRY 2085 70 81 4667
PETTIS 5855 223 144 9533
PHELPS 6262 253 187 9444
PIKE 3557 79 67 3648
PLATTE 15325 648 296 17785
POLK 3606 119 139 6430
PULASKI 3800 120 80 6531
PUTNAM 708 19 14 1593
RALLS 2033 36 27 2446
RANDOLPH 4116 114 112 4844
RAY 4970 145 115 4517
REYNOLDS 1298 42 29 1762
RIPLEY 1820 58 66 3121
SALINE 4585 131 67 4572
SCHUYLER 808 16 23 1159
SCOTLAND 790 37 17 1335
SCOTT 6452 113 140 8999
SHANNON 1430 48 58 2245
SHELBY 1262 37 22 1936
"ST. CHARLES" 53806 1900 866 72114
"ST. CLAIR" 1866 80 62 2731
"ST. FRANCOIS" 9075 265 174 9327
"ST. LOUIS CITY" 96557 2592 804 24799
"ST. LOUIS COUNTY" 250631 8474 3090 224689
"STE. GENEVIEVE" 3600 127 79 3505
STODDARD 4476 114 137 7727
STONE 4055 179 124 7793
SULLIVAN 1127 27 33 1877
TANEY 5092 204 169 9647
TEXAS 3486 137 173 6136
VERNON 3156 156 111 4985
WARREN 4524 150 87 5979
WASHINGTON 4047 95 103 4020
WAYNE 2387 55 60 3346
WEBSTER 4174 161 195 7350
WORTH 469 15 23 651
WRIGHT 2250 86 114 5391
