COUNTY DEM OTH REP
COUNTY Obama_D Other_O Romney_R
ADAIR 4219 256 5651
ANDREW 2649 200 5457
ATCHISON 756 51 1902
AUDRAIN 3539 227 6186
BARRY 3667 307 9832
BARTON 1230 98 4418
BATES 2557 194 5020
BENTON 2925 163 6069
BOLLINGER 1213 148 4095
BOONE 39847 2171 37404
BUCHANAN 15594 852 18660
BUTLER 4363 278 12248
CALDWELL 1312 134 2721
CALLAWAY 6071 416 11745
CAMDEN 6458 395 15092
"CAPE GIRARDEAU" 9728 618 25370
CARROLL 1154 78 3072
CARTER 754 67 1978
CASS 17044 957 30912
CEDAR 1537 132 4376
CHARITON 1339 80 2402
CHRISTIAN 9813 678 27473
CLARK 1398 97 1730
CLAY 47310 2088 56191
CLINTON 3688 242 5931
COLE 12005 567 24490
COOPER 2474 150 4887
CRAWFORD 2951 194 6434
DADE 939 62 2895
DALLAS 2122 165 4992
DAVIESS 1125 106 2290
DEKALB 1194 100 3056
DENT 1585 175 4883
DOUGLAS 1710 198 4649
DUNKLIN 3636 165 6850
FRANKLIN 16347 1012 29396
GASCONADE 2099 140 4895
GENTRY 937 74 1988
GREENE 46219 2729 76900
GRUNDY 1212 132 3030
HARRISON 984 87 2624
HENRY 3606 288 6229
HICKORY 1733 112 2835
HOLT 551 34 1725
HOWARD 1723 127 3017
HOWELL 4395 407 11544
IRON 1669 110 2252
JACKSON 78283 3282 93199
JASPER 12809 1060 31349
JEFFERSON 41564 2069 53978
JOHNSON 7667 591 12763
"KANSAS CITY" 105670 1623 29509
KNOX 698 54 1205
LACLEDE 4093 335 10934
LAFAYETTE 5655 337 9803
LAWRENCE 4017 317 11421
LEWIS 1508 94 2677
LINCOLN 7734 586 14332
LINN 2041 165 3344
LIVINGSTON 1906 142 4006
MACON 2309 150 4701
MADISON 1588 115 3227
MARIES 1299 74 3165
MARION 4031 204 7923
MCDONALD 1920 203 5694
MERCER 353 47 1255
MILLER 2651 269 8099
MISSISSIPPI 1858 65 2997
MONITEAU 1608 131 4704
MONROE 1398 95 2564
MONTGOMERY 1740 97 3490
MORGAN 2773 182 5733
"NEW MADRID" 2814 152 4284
NEWTON 6425 477 18181
NODAWAY 3172 211 5593
OREGON 1419 116 2886
OSAGE 1473 117 5329
OZARK 1261 112 3080
PEMISCOT 2671 66 3598
PERRY 2184 134 5669
PETTIS 5904 429 10842
PHELPS 5798 497 11895
PIKE 2582 162 4577
PLATTE 19175 759 25618
POLK 3580 287 9252
PULASKI 4199 280 9092
PUTNAM 587 49 1673
RALLS 1736 69 3231
RANDOLPH 3031 246 6667
RAY 4275 277 5815
REYNOLDS 1157 114 1931
RIPLEY 1396 124 3743
SALINE 3790 214 5104
SCHUYLER 697 68 1174
SCOTLAND 643 47 1246
SCOTT 5122 254 11623
SHANNON 1302 128 2262
SHELBY 966 78 2188
"ST. CHARLES" 71838 3068 110784
"ST. CLAIR" 1460 147 3019
"ST. FRANCOIS" 8829 505 13248
"ST. LOUIS CITY" 118780 1884 22943
"ST. LOUIS COUNTY" 297097 6837 224742
"STE. GENEVIEVE" 3813 202 4055
STODDARD 3153 217 9496
STONE 3923 274 11787
SULLIVAN 908 77 1610
TANEY 5479 434 15746
TEXAS 2871 275 7618
VERNON 2580 183 5758
WARREN 5219 307 9150
WASHINGTON 3417 207 5071
WAYNE 1813 117 3790
WEBSTER 4409 312 10708
WORTH 341 43 664
WRIGHT 1953 172 5830
