COUNTY DEM GRN LIB OTH REP
COUNTY Biden_D Other_G Jorgensen_L Other_O Trump_R
ADAIR 3710 43 157 13 6413
ANDREW 2351 19 120 7 7255
ATCHISON 564 3 47 1 2199
AUDRAIN 2704 32 175 13 7732
BARRY 2948 27 180 18 12425
BARTON 844 13 47 5 5168
BATES 1672 14 120 13 6597
BENTON 2180 22 152 13 8109
BOLLINGER 750 13 51 2 5167
BOONE 50064 349 1968 141 38646
BUCHANAN 13445 127 529 47 22450
BUTLER 3301 42 188 8 14602
CALDWELL 897 7 50 3 3725
CALLAWAY 5870 68 371 20 14815
CAMDEN 5652 32 255 23 18850
"CAPE GIRARDEAU" 10760 101 520 40 28907
CARROLL 786 6 32 2 3706
CARTER 418 6 18 4 2451
CASS 19052 171 908 80 37197
CEDAR 1145 14 80 17 5788
CHARITON 916 5 40 5 3111
CHRISTIAN 11131 96 638 54 34920
CLARK 678 12 32 0 2672
CLAY 59400 360 2019 185 64605
CLINTON 2896 30 150 13 7799
COLE 12694 95 603 51 26086
COOPER 2249 27 139 6 6272
CRAWFORD 2113 17 102 16 8725
DADE 656 5 42 2 3414
DALLAS 1380 21 72 12 6619
DAVIESS 746 6 49 8 3102
DEKALB 930 9 62 14 3828
DENT 1056 9 81 9 5987
DOUGLAS 1016 4 68 14 5898
DUNKLIN 2200 11 61 12 8135
FRANKLIN 14569 154 816 88 38058
GASCONADE 1601 10 83 7 6222
GENTRY 613 2 34 7 2581
GREENE 55068 463 2454 185 83630
GRUNDY 799 8 42 3 3585
HARRISON 597 8 22 1 3198
HENRY 2619 17 114 11 8027
HICKORY 1056 13 39 6 3966
HOLT 338 5 23 1 1976
HOWARD 1413 15 106 5 3553
HOWELL 3218 33 197 21 15181
IRON 945 11 33 7 3596
JACKSON 92182 678 3102 314 100142
JASPER 13549 161 862 52 37728
JEFFERSON 37523 334 1635 150 77046
JOHNSON 6974 67 554 39 15489
"KANSAS CITY" 107660 698 1621 273 26393
KNOX 340 0 26 2 1486
LACLEDE 2780 36 181 34 13762
LAFAYETTE 4472 40 240 30 12273
LAWRENCE 3214 39 202 24 14426
LEWIS 984 6 61 5 3553
LINCOLN 6607 68 450 45 21848
LINN 1275 17 69 2 4363
LIVINGSTON 1410 14 57 10 5267
MACON 1662 11 78 9 6076
MADISON 1019 13 53 7 4584
MARIES 814 10 50 5 3892
MARION 3202 31 190 10 9915
MCDONALD 1439 20 114 15 7465
MERCER 222 1 13 2 1541
MILLER 2038 21 133 14 10176
MISSISSIPPI 1178 7 30 4 3537
MONITEAU 1308 8 88 9 5744
MONROE 936 8 56 6 3477
MONTGOMERY 1208 12 84 3 4465
MORGAN 1924 10 98 13 7442
"NEW MADRID" 1748 9 43 3 5447
NEWTON 5818 67 385 15 22120
NODAWAY 2853 29 131 15 6865
OREGON 823 2 58 9 3847
OSAGE 1037 4 67 6 6425
OZARK 752 7 32 9 4064
PEMISCOT 1560 6 45 4 4120
PERRY 1664 18 102 6 7657
PETTIS 4783 58 381 21 13854
PHELPS 5637 63 367 21 13480
PIKE 1717 19 93 3 5863
PLATTE 27179 182 902 90 28917
POLK 2885 22 278 29 11850
PULASKI 3740 36 286 23 10329
PUTNAM 361 0 13 3 1984
RALLS 1205 7 51 3 4396
RANDOLPH 2485 27 200 14 8018
RAY 3109 29 145 21 8345
REYNOLDS 529 8 24 4 2733
RIPLEY 833 7 34 4 4839
SALINE 2904 23 135 6 6451
SCHUYLER 373 3 20 1 1606
SCOTLAND 388 7 25 4 1560
SCOTT 3753 30 156 11 13769
SHANNON 706 8 24 3 3165
SHELBY 592 8 46 4 2700
"ST. CHARLES" 89530 548 3317 233 128389
"ST. CLAIR" 988 7 43 4 3932
"ST. FRANCOIS" 7044 73 337 36 20511
"ST. LOUIS CITY" 110089 653 1497 154 21474
"ST. LOUIS COUNTY" 328151 1843 6119 840 199493
"STE. GENEVIEVE" 2713 14 111 16 6630
STODDARD 1819 16 99 8 11484
STONE 3506 22 146 9 14800
SULLIVAN 478 2 14 3 1974
TANEY 5339 81 326 34 20508
TEXAS 1716 14 93 14 9478
VERNON 1903 12 110 5 7155
WARREN 4769 44 322 18 13222
WASHINGTON 1804 22 94 9 8047
WAYNE 845 4 36 6 4987
WEBSTER 3573 33 254 39 14880
WORTH 215 0 14 1 877
WRIGHT 1168 15 94 9 7453
