COUNTY DEM GRN OTH REP
COUNTY Gore_D Nader_G Other_O Bush_R
ADAMS 8065 89 34 6691
ALCORN 5059 101 224 7254
AMITE 2673 28 30 3677
ATTALA 2922 22 23 4206
BENTON 1886 17 17 1561
BOLIVAR 8436 64 191 4847
CALHOUN 2251 31 28 3448
CARROLL 1726 18 15 3165
CHICKASAW 3519 36 71 3549
CHOCTAW 1278 27 16 2398
CLAIBORNE 3670 12 50 883
CLARKE 2368 17 31 4503
CLAY 4515 41 39 3570
COAHOMA 5662 48 148 3695
COPIAH 4845 52 47 5643
COVINGTON 2623 30 48 4180
DESOTO 9586 302 169 24879
FORREST 8500 353 117 13281
FRANKLIN 1486 20 20 2427
GEORGE 1977 69 95 5143
GREENE 1317 14 23 3082
GRENADA 4163 42 51 5129
HANCOCK 4801 285 136 9326
HARRISON 19142 923 295 32256
HINDS 46789 711 2517 37753
HOLMES 5447 15 23 1937
HUMPHREYS 2288 17 11 1628
ISSAQUENA 555 4 16 366
ITAWAMBA 2994 70 76 5424
JACKSON 14193 567 279 30068
JASPER 3104 23 26 3294
JEFFERSON 2786 6 16 600
"JEFFERSON DAVIS" 2835 11 34 2437
JONES 7713 150 136 16341
KEMPER 2311 18 17 1915
LAFAYETTE 5139 385 73 7081
LAMAR 3478 212 117 12795
LAUDERDALE 8412 160 83 17315
LAWRENCE 2841 32 40 3674
LEAKE 2793 20 25 4114
LEE 9142 240 161 15551
LEFLORE 6401 43 206 4626
LINCOLN 4358 60 42 8540
LOWNDES 7537 172 117 11404
MADISON 10416 219 115 19109
MARION 4114 58 30 6796
MARSHALL 7735 73 61 4723
MONROE 5783 113 67 7397
MONTGOMERY 2187 15 17 2630
NESHOBA 2563 53 41 6409
NEWTON 2147 28 23 5540
NOXUBEE 3383 15 26 1530
OKTIBBEHA 6443 255 147 7959
PANOLA 5880 41 44 5424
"PEARL RIVER" 4611 173 118 11575
PERRY 1285 22 26 3026
PIKE 6544 114 44 7464
PONTOTOC 2771 84 54 6601
PRENTISS 3287 54 40 5101
QUITMAN 2103 8 22 1280
RANKIN 8050 261 141 32983
SCOTT 3548 27 30 5601
SHARKEY 1706 16 107 1074
SIMPSON 3227 39 54 6254
SMITH 1620 26 44 4838
STONE 1677 65 79 3702
SUNFLOWER 4981 30 35 3369
TALLAHATCHIE 3041 20 34 2428
TATE 3441 66 38 5148
TIPPAH 2908 60 54 5381
TISHOMINGO 2747 64 59 4122
TUNICA 1539 9 26 792
UNION 3094 69 61 6087
WALTHALL 2356 30 33 3476
WARREN 7485 173 73 10892
WASHINGTON 10405 70 486 7367
WAYNE 2981 42 47 4635
WEBSTER 1426 24 26 3069
WILKINSON 2551 32 92 1423
WINSTON 3672 20 31 4645
YALOBUSHA 2674 51 33 2470
YAZOO 4997 50 215 5254
