COUNTY DEM OTH REP
COUNTY Obama_D Other_O Romney_R
ADAMS 9061 93 6293
ALCORN 3511 208 11111
AMITE 3242 50 4414
ATTALA 3927 39 5126
BENTON 2051 24 2041
BOLIVAR 10582 145 4701
CALHOUN 2586 70 4412
CARROLL 2007 25 3960
CHICKASAW 4378 131 3994
CHOCTAW 1428 33 2812
CLAIBORNE 4838 21 625
CLARKE 3111 93 5049
CLAY 6712 69 4291
COAHOMA 7792 45 2712
COPIAH 7749 92 6282
COVINGTON 3878 65 5405
DESOTO 21575 660 43559
FORREST 13272 390 16574
FRANKLIN 1726 32 2735
GEORGE 1359 121 8376
GREENE 1325 66 4531
GRENADA 5288 61 5986
HANCOCK 3917 286 12964
HARRISON 23119 739 39470
HINDS 76112 715 29664
HOLMES 7812 41 1435
HUMPHREYS 3903 16 1293
ISSAQUENA 479 6 302
ITAWAMBA 1706 219 7393
JACKSON 17299 609 35747
JASPER 5097 50 4193
JEFFERSON 3951 14 468
"JEFFERSON DAVIS" 4267 90 2507
JONES 9211 261 20687
KEMPER 3239 24 1789
LAFAYETTE 8091 339 11075
LAMAR 5494 294 19101
LAUDERDALE 13814 263 18700
LAWRENCE 2468 38 4192
LEAKE 4079 41 4863
LEE 12563 328 22415
LEFLORE 9119 67 3587
LINCOLN 5471 104 10839
LOWNDES 13388 252 13518
MADISON 20722 342 28507
MARION 4393 99 8237
MARSHALL 9650 117 6473
MONROE 7056 139 9723
MONTGOMERY 2675 23 2947
NESHOBA 3089 89 7837
NEWTON 3319 64 6394
NOXUBEE 4920 19 1325
OKTIBBEHA 9095 261 8761
PANOLA 9079 118 7629
"PEARL RIVER" 4366 309 17549
PERRY 1527 58 4137
PIKE 9650 143 8181
PONTOTOC 2804 159 9448
PRENTISS 2817 141 7075
QUITMAN 2837 26 1116
RANKIN 14988 713 48444
SCOTT 5031 82 6089
SHARKEY 1782 13 737
SIMPSON 4723 102 7424
SMITH 1979 71 6049
STONE 2003 109 5420
SUNFLOWER 8199 100 2929
TALLAHATCHIE 3959 45 2499
TATE 4933 141 7332
TIPPAH 2317 130 6717
TISHOMINGO 1643 160 6133
TUNICA 3475 24 883
UNION 2742 125 8498
WALTHALL 3422 78 4051
WARREN 10786 148 10457
WASHINGTON 13981 83 5651
WAYNE 4148 73 6111
WEBSTER 1190 52 3992
WILKINSON 3412 26 1415
WINSTON 4607 54 5168
YALOBUSHA 3030 48 3276
YAZOO 6603 76 4941
