COUNTY DEM GRN LIB OTH REP
COUNTY Biden_D Other_G Jorgensen_L Other_O Trump_R
ADAMS 7917 10 48 88 5696
ALCORN 2782 9 118 66 12818
AMITE 2620 10 21 42 4503
ATTALA 3542 11 36 56 5178
BENTON 1679 5 12 23 2570
BOLIVAR 8904 19 48 102 4671
CALHOUN 1902 4 15 44 4625
CARROLL 1729 7 14 27 3924
CHICKASAW 3810 9 75 72 4175
CHOCTAW 1185 2 16 19 3001
CLAIBORNE 3772 10 11 53 603
CLARKE 2838 14 28 41 5417
CLAY 5844 12 48 104 4181
COAHOMA 6020 14 20 72 2375
COPIAH 6470 11 58 94 6250
COVINGTON 3416 3 33 54 5854
DESOTO 28265 96 722 579 46462
FORREST 13755 54 329 226 17290
FRANKLIN 1480 3 21 34 2923
GEORGE 1218 10 54 54 9713
GREENE 966 4 20 28 4794
GRENADA 4734 8 38 50 6081
HANCOCK 4504 23 183 115 16132
HARRISON 27728 101 726 391 46822
HINDS 73550 110 396 798 25141
HOLMES 6588 15 26 117 1369
HUMPHREYS 3016 4 10 41 1118
ISSAQUENA 355 0 5 8 308
ITAWAMBA 1249 15 79 38 9438
JACKSON 17375 76 474 323 36295
JASPER 4341 6 30 57 4302
JEFFERSON 3327 6 14 30 531
"JEFFERSON DAVIS" 3599 5 16 59 2534
JONES 8517 24 169 155 21226
KEMPER 2887 9 10 38 1787
LAFAYETTE 10070 40 242 122 12949
LAMAR 7340 32 264 145 20704
LAUDERDALE 12960 25 149 146 17967
LAWRENCE 2260 8 19 41 4285
LEAKE 3897 6 19 50 5228
LEE 12189 44 292 222 24207
LEFLORE 7648 9 31 76 3129
LINCOLN 5040 19 64 82 11596
LOWNDES 13087 32 182 140 13800
MADISON 24440 41 351 289 31091
MARION 3787 11 44 62 8273
MARSHALL 8057 27 48 119 7566
MONROE 5874 17 93 98 11177
MONTGOMERY 2121 3 9 25 2917
NESHOBA 3260 6 46 71 8320
NEWTON 3075 8 47 56 6997
NOXUBEE 4040 6 13 40 1240
OKTIBBEHA 10299 51 255 148 9004
PANOLA 7403 11 48 105 8060
"PEARL RIVER" 4148 31 160 99 19595
PERRY 1362 7 21 26 4500
PIKE 8646 18 91 108 8479
PONTOTOC 2614 17 103 77 11550
PRENTISS 2153 6 70 45 8370
QUITMAN 2150 5 12 33 1026
RANKIN 18847 62 555 296 50895
SCOTT 4330 22 38 58 6285
SHARKEY 1465 6 9 15 688
SIMPSON 4037 23 49 71 7635
SMITH 1791 6 33 39 6458
STONE 1802 8 57 47 5964
SUNFLOWER 6781 14 18 69 2799
TALLAHATCHIE 3105 15 20 57 2488
TATE 4183 16 84 103 8707
TIPPAH 1937 9 43 59 8054
TISHOMINGO 1059 7 97 42 7933
TUNICA 2580 7 9 40 926
UNION 2160 13 81 56 10373
WALTHALL 2835 6 19 39 4220
WARREN 10442 25 93 128 10365
WASHINGTON 12503 19 53 133 5300
WAYNE 3624 11 45 69 6307
WEBSTER 1043 2 27 32 4291
WILKINSON 2749 9 12 33 1324
WINSTON 4040 4 41 39 5112
YALOBUSHA 2785 7 26 46 3671
YAZOO 5496 8 21 79 4832
