COUNTY DEM GRN OTH REP
COUNTY Gore_D Nader_G Other_O Bush_R
BEAVERHEAD 799 218 66 3113
"BIG HORN" 2345 101 64 1651
BLAINE 1246 58 45 1410
BROADWATER 462 63 61 1488
CARBON 1434 237 110 3008
CARTER 53 10 9 573
CASCADE 13137 1202 814 18164
CHOUTEAU 686 86 74 2039
CUSTER 1501 154 94 3156
DANIELS 303 39 18 750
DAWSON 1364 115 69 2723
"DEER LODGE" 2672 232 137 1493
FALLON 256 31 21 1061
FERGUS 1352 165 124 4353
FLATHEAD 8329 2037 954 22519
GALLATIN 10009 2545 653 18833
GARFIELD 61 12 20 651
GLACIER 2211 139 65 1709
"GOLDEN VALLEY" 88 17 21 405
GRANITE 295 75 39 1181
HILL 2760 278 128 3392
JEFFERSON 1513 189 153 3308
"JUDITH BASIN" 278 31 28 1057
LAKE 3884 762 361 6441
"LEWIS AND CLARK" 9982 1645 551 15091
LIBERTY 243 24 25 752
LINCOLN 1629 402 237 5578
MADISON 758 161 81 2656
MCCONE 267 34 14 827
MEAGHER 176 27 34 698
MINERAL 382 127 52 1078
MISSOULA 17241 6999 862 21474
MUSSELSHELL 512 53 60 1582
PARK 2154 498 231 4523
PETROLEUM 36 6 10 254
PHILLIPS 423 44 34 1727
PONDERA 792 96 60 1948
"POWDER RIVER" 115 21 12 860
POWELL 638 129 94 1971
PRAIRIE 164 24 17 541
RAVALLI 4451 1128 418 11241
RICHLAND 1018 79 78 2858
ROOSEVELT 2059 95 54 1605
ROSEBUD 1394 130 73 1826
SANDERS 1165 305 107 3144
SHERIDAN 702 62 25 1176
"SILVER BOW" 8967 876 561 6299
STILLWATER 925 141 87 2765
"SWEET GRASS" 305 59 32 1450
TETON 847 102 71 2294
TOOLE 630 77 32 1639
TREASURE 106 12 17 344
VALLEY 1273 103 87 2500
WHEATLAND 243 21 27 708
WIBAUX 121 16 12 369
YELLOWSTONE 20370 2145 1062 33922
