COUNTY DEM OTH REP
COUNTY Obama_D Other_O Mccain_R
BEAVERHEAD 1617 138 3008
"BIG HORN" 3516 75 1628
BLAINE 1702 173 1139
BROADWATER 854 68 1853
CARBON 2443 199 3108
CARTER 111 182 573
CASCADE 17664 875 16857
CHOUTEAU 1122 110 1634
CUSTER 2267 168 3047
DANIELS 343 36 694
DAWSON 1593 218 2639
"DEER LODGE" 3402 170 1502
FALLON 318 157 1064
FERGUS 1933 191 4108
FLATHEAD 16138 2047 25559
GALLATIN 24205 1386 22578
GARFIELD 110 19 598
GLACIER 3423 97 1451
"GOLDEN VALLEY" 124 25 343
GRANITE 601 104 1013
HILL 3596 278 2787
JEFFERSON 2582 221 3538
"JUDITH BASIN" 397 38 801
LAKE 6766 655 6498
"LEWIS AND CLARK" 17114 1353 14966
LIBERTY 367 40 594
LINCOLN 3025 498 5704
MADISON 1607 139 2822
MCCONE 321 59 726
MEAGHER 298 44 624
MINERAL 845 123 1053
MISSOULA 36531 1830 20743
MUSSELSHELL 636 89 1581
PARK 4173 1266 4376
PETROLEUM 68 5 227
PHILLIPS 638 163 1423
PONDERA 1223 74 1588
"POWDER RIVER" 208 394 802
POWELL 1021 236 1683
PRAIRIE 211 116 503
RAVALLI 8400 699 13002
RICHLAND 1203 129 3184
ROOSEVELT 2564 910 1473
ROSEBUD 1919 123 1768
SANDERS 1970 335 3563
SHERIDAN 953 66 987
"SILVER BOW" 11676 475 4818
STILLWATER 1512 164 2991
"SWEET GRASS" 541 264 1494
TETON 1294 104 1874
TOOLE 737 67 1317
TREASURE 156 16 314
VALLEY 1645 660 2121
WHEATLAND 289 37 657
WIBAUX 146 38 379
YELLOWSTONE 32038 1910 36483
