COUNTY DEM LIB REP
COUNTY Biden_D Jorgensen_L Trump_R
BEAVERHEAD 1608 130 3923
"BIG HORN" 2491 86 2207
BLAINE 1589 59 1469
BROADWATER 835 89 3173
CARBON 2421 163 4468
CARTER 74 15 775
CASCADE 15456 1114 23315
CHOUTEAU 991 83 1891
CUSTER 1514 141 4205
DANIELS 195 20 799
DAWSON 962 105 3758
"DEER LODGE" 2562 143 2186
FALLON 172 28 1375
FERGUS 1496 142 4869
FLATHEAD 20274 1341 38321
GALLATIN 37044 2239 31696
GARFIELD 41 8 764
GLACIER 3610 123 1884
"GOLDEN VALLEY" 78 11 414
GRANITE 638 45 1419
HILL 2981 244 3957
JEFFERSON 2625 181 5345
"JUDITH BASIN" 275 29 1040
LAKE 6916 388 9322
"LEWIS AND CLARK" 19743 1113 21409
LIBERTY 249 13 821
LINCOLN 2835 240 8672
MADISON 1771 125 4191
MCCONE 155 17 956
MEAGHER 258 19 833
MINERAL 686 49 1828
MISSOULA 43357 1791 26347
MUSSELSHELL 413 45 2423
PARK 5280 261 6025
PETROLEUM 39 11 298
PHILLIPS 416 30 1936
PONDERA 903 61 2031
"POWDER RIVER" 154 12 970
POWELL 752 72 2355
PRAIRIE 126 15 603
RAVALLI 8763 630 19114
RICHLAND 875 123 4800
ROOSEVELT 1910 111 1996
ROSEBUD 1199 88 2486
SANDERS 1820 142 5660
SHERIDAN 574 53 1403
"SILVER BOW" 10392 521 7745
STILLWATER 1156 106 4462
"SWEET GRASS" 549 57 1840
TETON 1007 64 2608
TOOLE 467 56 1596
TREASURE 78 9 373
VALLEY 1030 96 3135
WHEATLAND 225 20 823
WIBAUX 77 5 516
YELLOWSTONE 30679 2370 50772
