COUNTY DEM GRN OTH REP
COUNTY Gore_D Nader_G Other_O Bush_R
ALAMANCE 17459 0 327 29305
ALEXANDER 4166 0 84 9242
ALLEGHANY 1715 0 67 2531
ANSON 4792 0 32 3161
ASHE 4011 0 79 6226
AVERY 1686 0 52 4956
BEAUFORT 6634 0 148 10531
BERTIE 4660 0 28 2488
BLADEN 5889 0 42 4977
BRUNSWICK 13118 0 294 15427
BUNCOMBE 38545 0 830 46101
BURKE 11924 0 268 18466
CABARRUS 16284 0 393 32704
CALDWELL 8588 0 190 17337
CAMDEN 1187 0 16 1628
CARTERET 8839 0 241 17381
CASWELL 4091 0 61 4270
CATAWBA 16246 0 351 34244
CHATHAM 10461 0 222 10248
CHEROKEE 3239 0 130 6305
CHOWAN 2430 0 45 2415
CLAY 1361 0 75 2416
CLEVELAND 13455 0 227 19064
COLUMBUS 9986 0 97 8342
CRAVEN 12213 0 278 19494
CUMBERLAND 38626 0 396 38129
CURRITUCK 2595 0 49 4095
DARE 5589 0 112 7301
DAVIDSON 16199 0 461 35387
DAVIE 3651 0 163 10184
DUPLIN 6475 0 75 7840
DURHAM 53907 0 547 30150
EDGECOMBE 11315 0 51 6836
FORSYTH 52457 0 785 67700
FRANKLIN 7454 0 96 8501
GASTON 19281 0 445 39453
GATES 1944 0 22 1480
GRAHAM 1006 0 51 2304
GRANVILLE 7733 0 97 7364
GREENE 2478 0 39 3353
GUILFORD 80787 0 1083 84394
HALIFAX 10222 0 50 6698
HARNETT 9155 0 250 14762
HAYWOOD 9793 0 362 12118
HENDERSON 12562 0 357 25688
HERTFORD 5484 0 31 2382
HOKE 5017 0 126 3439
HYDE 1088 0 17 1132
IREDELL 15434 0 299 29853
JACKSON 5722 0 162 6237
JOHNSTON 13704 0 239 27212
JONES 1822 0 28 2114
LEE 6785 0 92 9406
LENOIR 9527 0 124 11512
LINCOLN 8412 0 166 15951
MACON 4683 0 145 8406
MADISON 3505 0 144 4676
MARTIN 4929 0 17 4420
MCDOWELL 4747 0 155 9109
MECKLENBURG 126911 0 2057 134068
MITCHELL 1535 0 81 4984
MONTGOMERY 3979 0 49 4946
MOORE 11232 0 187 19882
"NASH" 12376 0 142 17995
"NEW HANOVER" 29292 0 524 36503
NORTHAMPTON 5513 0 20 2667
ONSLOW 10269 0 289 19657
ORANGE 30921 0 493 17930
PAMLICO 2188 0 55 2999
PASQUOTANK 5874 0 86 4943
PENDER 6415 0 78 7661
PERQUIMANS 2033 0 43 2230
PERSON 5042 0 69 6722
PITT 19685 0 198 23192
POLK 3114 0 115 5074
RANDOLPH 11366 0 371 30959
RICHMOND 7935 0 71 6263
ROBESON 17834 0 192 11721
ROCKINGHAM 13260 0 289 18979
ROWAN 14891 0 320 28922
RUTHERFORD 7697 0 264 13755
SAMPSON 8768 0 61 10410
SCOTLAND 5627 0 36 3740
STANLY 7066 0 204 15548
STOKES 5030 0 124 12028
SURRY 7757 0 200 15401
SWAIN 2097 0 49 2224
TRANSYLVANIA 5044 0 170 9011
TYRRELL 849 0 11 706
UNION 14890 0 395 31876
VANCE 7092 0 45 5564
WAKE 123466 0 2260 142494
WARREN 4576 0 17 2202
WASHINGTON 2704 0 17 2169
WATAUGA 7959 0 326 10438
WAYNE 13005 0 121 20758
WILKES 7226 0 271 16826
WILSON 11266 0 94 13466
YADKIN 3127 0 120 10435
YANCEY 3714 0 80 4970
