COUNTY DEM OTH REP
COUNTY Obama_D Other_O Mccain_R
ALAMANCE 28918 576 34859
ALEXANDER 5167 297 11790
ALLEGHANY 2021 118 3124
ANSON 6456 70 4207
ASHE 4872 281 7916
AVERY 2178 84 5681
BEAUFORT 9454 96 13460
BERTIE 6365 22 3376
BLADEN 7853 95 7532
BRUNSWICK 21331 524 30753
BUNCOMBE 69716 1585 52494
BURKE 14901 440 22102
CABARRUS 31546 524 45924
CALDWELL 12081 548 22526
CAMDEN 1597 84 3140
CARTERET 11130 336 23131
CASWELL 5545 109 5208
CATAWBA 25656 802 42993
CHATHAM 17862 350 14668
CHEROKEE 3785 158 8643
CHOWAN 3688 51 3773
CLAY 1734 102 3707
CLEVELAND 17363 394 26078
COLUMBUS 11076 212 12994
CRAVEN 19352 345 24901
CUMBERLAND 74693 731 52151
CURRITUCK 3737 131 7234
DARE 8074 229 9745
DAVIDSON 22433 729 45419
DAVIE 6178 209 13981
DUPLIN 8958 112 10834
DURHAM 103456 1088 32353
EDGECOMBE 17403 82 8445
FORSYTH 91085 1374 73674
FRANKLIN 13085 281 13273
GASTON 31384 511 52507
GATES 2830 43 2547
GRAHAM 1265 82 2824
GRANVILLE 13074 204 11447
GREENE 3796 35 4272
GUILFORD 142101 1952 97718
HALIFAX 16047 83 8961
HARNETT 16785 341 23579
HAYWOOD 12730 427 14910
HENDERSON 20082 602 30930
HERTFORD 7513 48 3089
HOKE 9227 107 6293
HYDE 1241 16 1212
IREDELL 27318 696 45148
JACKSON 8766 246 7854
JOHNSTON 26795 600 43622
JONES 2378 32 2817
LEE 10784 229 12775
LENOIR 13378 118 13401
LINCOLN 11713 454 23631
MACON 6620 301 10317
MADISON 5026 161 5192
MARTIN 6539 45 5957
MCDOWELL 6571 281 11534
MECKLENBURG 253958 3011 153848
MITCHELL 2238 109 5499
MONTGOMERY 4926 129 6155
MOORE 17624 390 27314
"NASH" 23099 291 23728
"NEW HANOVER" 49145 976 50544
NORTHAMPTON 6903 44 3671
ONSLOW 19499 426 30278
ORANGE 53806 838 20266
PAMLICO 2838 51 3823
PASQUOTANK 10272 130 7778
PENDER 9907 224 13618
PERQUIMANS 2772 51 3678
PERSON 8446 156 10030
PITT 40501 456 33927
POLK 4396 176 5990
RANDOLPH 16414 735 40998
RICHMOND 9713 190 9424
ROBESON 23058 343 17433
ROCKINGHAM 17255 458 23899
ROWAN 23391 718 37451
RUTHERFORD 9641 310 18769
SAMPSON 11836 164 14038
SCOTLAND 8151 61 6005
STANLY 8878 299 19329
STOKES 6875 380 14488
SURRY 10475 320 18730
SWAIN 2806 92 2900
TRANSYLVANIA 7275 233 9401
TYRRELL 933 17 960
UNION 31189 777 54123
VANCE 13166 99 7606
WAKE 250891 4353 187001
WARREN 7086 46 3063
WASHINGTON 3748 36 2670
WATAUGA 14558 470 13344
WAYNE 22671 259 26952
WILKES 8934 502 20288
WILSON 19652 164 17375
YADKIN 4527 211 12409
YANCEY 4486 186 5045
