COUNTY DEM GRN LIB OTH REP
COUNTY Biden_D Other_G Jorgensen_L Other_O Trump_R
ALAMANCE 38825 223 686 301 46056
ALEXANDER 4145 18 127 58 15888
ALLEGHANY 1486 15 35 13 4527
ANSON 5789 14 41 29 5321
ASHE 4164 23 126 50 11451
AVERY 2191 13 56 26 7172
BEAUFORT 9633 30 137 78 16437
BERTIE 5939 15 29 15 3817
BLADEN 7326 18 68 37 9676
BRUNSWICK 33310 119 642 254 55850
BUNCOMBE 96515 542 1460 640 62412
BURKE 13118 83 270 112 31019
CABARRUS 52162 253 1096 479 63237
CALDWELL 10245 60 273 132 32119
CAMDEN 1537 8 76 20 4312
CARTERET 12093 64 373 137 30028
CASWELL 4860 19 64 19 7089
CATAWBA 25689 194 652 302 56588
CHATHAM 26787 90 366 170 21186
CHEROKEE 3583 49 95 68 12628
CHOWAN 3247 7 47 12 4471
CLAY 1699 14 46 22 5112
CLEVELAND 16955 81 329 145 33798
COLUMBUS 9446 23 88 57 16832
CRAVEN 21148 92 626 167 31032
CUMBERLAND 84469 423 1645 581 60032
CURRITUCK 4195 29 209 57 11657
DARE 9936 47 223 88 13938
DAVIDSON 22636 187 703 330 64658
DAVIE 6713 53 213 104 18228
DUPLIN 8767 33 84 38 13793
DURHAM 144688 519 1504 744 32459
EDGECOMBE 16089 33 97 52 9206
FORSYTH 113033 499 1785 889 85064
FRANKLIN 15879 75 333 163 20901
GASTON 40959 225 910 371 73033
GATES 2546 4 41 13 3367
GRAHAM 905 5 26 19 3710
GRANVILLE 14565 55 244 87 16647
GREENE 3832 8 26 13 4874
GUILFORD 173086 704 2232 1170 107294
HALIFAX 15545 31 62 41 10080
HARNETT 22093 125 708 190 35177
HAYWOOD 13144 89 334 141 22834
HENDERSON 27211 175 670 283 40032
HERTFORD 7097 9 28 21 3479
HOKE 11804 50 262 70 9453
HYDE 1046 6 17 5 1418
IREDELL 33888 178 907 388 67010
JACKSON 9591 102 257 122 11356
JOHNSTON 41257 215 1164 368 68353
JONES 2197 5 34 9 3280
LEE 12143 65 235 96 16469
LENOIR 13605 29 126 59 14590
LINCOLN 13274 87 373 142 36341
MACON 6230 31 169 102 14211
MADISON 4901 37 103 56 7979
MARTIN 5911 13 59 25 6532
MCDOWELL 5832 45 184 59 16883
MECKLENBURG 378107 1611 5427 2697 179211
MITCHELL 1867 11 47 26 7090
MONTGOMERY 4327 13 78 20 8411
MOORE 20779 85 520 191 36764
"NASH" 25947 75 287 135 25827
"NEW HANOVER" 66138 362 1521 478 63331
NORTHAMPTON 6069 10 30 12 3989
ONSLOW 24266 136 1506 249 46078
ORANGE 63594 217 653 357 20176
PAMLICO 2713 10 44 15 4849
PASQUOTANK 9832 48 161 86 9770
PENDER 11723 63 329 98 21956
PERQUIMANS 2492 18 44 27 4903
PERSON 8465 42 144 59 13184
PITT 47252 210 796 333 38982
POLK 4518 23 86 42 7689
RANDOLPH 15618 123 506 175 56894
RICHMOND 8754 35 99 45 11830
ROBESON 19020 73 161 128 27806
ROCKINGHAM 15992 75 312 129 31301
ROWAN 23114 154 577 266 49297
RUTHERFORD 9135 60 218 125 24891
SAMPSON 10966 23 143 75 17411
SCOTLAND 7186 31 54 31 7473
STANLY 8129 32 225 95 25458
STOKES 5286 30 180 63 20142
SURRY 8721 45 235 99 27538
SWAIN 2780 19 72 36 4161
TRANSYLVANIA 8444 50 180 94 11636
TYRRELL 758 2 8 5 1044
UNION 48725 238 1136 530 80382
VANCE 12431 24 94 59 8391
WAKE 393336 1612 7514 3171 226197
WARREN 6400 29 63 49 3752
WASHINGTON 3396 2 17 9 2781
WATAUGA 17122 103 386 158 14451
WAYNE 24215 92 378 143 30709
WILKES 7511 40 214 109 27592
WILSON 20754 56 245 99 19581
YADKIN 3763 28 131 68 15933
YANCEY 3688 27 82 39 7516
