COUNTY DEM GRN OTH REP
COUNTY Gore_D Nader_G Other_O Bush_R
ADAMS 286 23 25 826
BARNES 1933 160 203 3452
BENSON 952 50 97 1055
BILLINGS 82 15 34 394
BOTTINEAU 1173 95 73 2349
BOWMAN 330 40 21 1080
BURKE 296 20 25 698
BURLEIGH 9842 1142 1031 22467
CASS 21451 2560 1448 33536
CAVALIER 618 73 167 1513
DICKEY 806 52 75 1853
DIVIDE 306 24 21 443
DUNN 474 54 76 1124
EDDY 458 36 71 703
EMMONS 405 42 115 1430
FOSTER 474 46 51 1172
"GOLDEN VALLEY" 156 26 19 611
"GRAND FORKS" 10593 1367 550 15875
GRANT 235 27 88 1077
GRIGGS 484 19 46 920
HETTINGER 353 44 65 1057
KIDDER 283 29 127 837
LAMOURE 689 50 139 1590
LOGAN 223 14 96 812
MCHENRY 888 79 88 1682
MCINTOSH 350 36 73 1178
MCKENZIE 653 45 32 1634
MCLEAN 1465 117 173 2891
MERCER 1011 157 201 2984
MORTON 3439 341 450 6993
MOUNTRAIL 1256 105 69 1466
NELSON 687 49 73 1031
OLIVER 244 36 62 709
PEMBINA 1093 110 146 2430
PIERCE 500 54 69 1348
RAMSEY 1658 161 153 3005
RANSOM 1080 67 84 1488
RENVILLE 443 37 32 820
RICHLAND 2490 240 286 4999
ROLETTE 2681 137 164 1416
SARGENT 959 48 74 1103
SHERIDAN 161 13 47 707
SIOUX 724 16 32 269
SLOPE 85 17 24 316
STARK 2784 301 305 6387
STEELE 475 28 52 655
STUTSMAN 3067 256 307 5488
TOWNER 410 31 54 694
TRAILL 1512 95 113 2392
WALSH 1743 107 233 3099
WARD 7533 598 354 13997
WELLS 661 51 88 1610
WILLIAMS 2330 157 133 5187
