COUNTY DEM OTH REP
COUNTY Obama_D Other_O Mccain_R
ADAMS 435 48 788
BARNES 2741 127 2826
BENSON 1569 32 773
BILLINGS 114 10 375
BOTTINEAU 1387 70 2059
BOWMAN 478 55 1107
BURKE 286 17 640
BURLEIGH 15600 729 25443
CASS 37622 1231 32566
CAVALIER 930 72 1128
DICKEY 1044 51 1525
DIVIDE 464 37 630
DUNN 527 37 1080
EDDY 583 34 548
EMMONS 546 61 1230
FOSTER 687 50 914
"GOLDEN VALLEY" 210 23 642
"GRAND FORKS" 16104 529 14520
GRANT 280 462 587
GRIGGS 598 34 682
HETTINGER 406 49 893
KIDDER 422 54 752
LAMOURE 868 63 1310
LOGAN 299 32 726
MCHENRY 981 61 1374
MCINTOSH 579 37 916
MCKENZIE 933 42 1740
MCLEAN 1867 102 2767
MERCER 1476 132 2789
MORTON 5079 316 7869
MOUNTRAIL 1477 55 1406
NELSON 907 45 800
OLIVER 332 26 682
PEMBINA 1494 91 1722
PIERCE 792 46 1301
RAMSEY 2314 87 2361
RANSOM 1371 64 998
RENVILLE 505 42 799
RICHLAND 3513 150 3900
ROLETTE 3403 86 1045
SARGENT 1115 34 778
SHERIDAN 229 19 555
SIOUX 1145 18 215
SLOPE 106 8 297
STARK 3802 244 7024
STEELE 614 14 404
STUTSMAN 4056 229 5499
TOWNER 621 40 536
TRAILL 2136 60 1845
WALSH 2325 142 2415
WARD 10144 416 15061
WELLS 841 68 1468
WILLIAMS 2921 161 6291
