COUNTY DEM LIB OTH REP
COUNTY Biden_D Jorgensen_L Other_O Trump_R
ADAMS 258 30 0 981
BARNES 1820 161 16 3568
BENSON 822 39 6 1094
BILLINGS 72 21 1 541
BOTTINEAU 821 65 10 2575
BOWMAN 228 30 4 1395
BURKE 137 20 4 994
BURLEIGH 14348 1368 293 34744
CASS 40311 2495 628 42619
CAVALIER 474 40 7 1499
DICKEY 608 63 11 1742
DIVIDE 265 30 3 904
DUNN 342 39 6 1951
EDDY 383 22 2 854
EMMONS 237 27 7 1738
FOSTER 373 33 10 1362
"GOLDEN VALLEY" 137 16 2 871
"GRAND FORKS" 12880 874 229 16987
GRANT 207 28 1 1145
GRIGGS 308 34 1 907
HETTINGER 196 23 2 1091
KIDDER 221 22 2 1215
LAMOURE 527 44 3 1645
LOGAN 128 14 4 930
MCHENRY 564 68 7 2364
MCINTOSH 261 30 11 1153
MCKENZIE 814 110 13 4482
MCLEAN 1230 96 12 4198
MERCER 704 102 13 3856
MORTON 3872 432 72 12243
MOUNTRAIL 1256 75 10 2824
NELSON 586 43 7 1141
OLIVER 129 18 1 918
PEMBINA 786 66 19 2460
PIERCE 497 38 8 1585
RAMSEY 1639 128 28 3577
RANSOM 945 86 5 1418
RENVILLE 220 32 2 1065
RICHLAND 2510 191 39 5072
ROLETTE 2482 60 5 1257
SARGENT 738 62 4 1266
SHERIDAN 104 16 4 688
SIOUX 804 48 76 258
SLOPE 44 2 1 380
STARK 2499 396 45 12110
STEELE 392 38 6 652
STUTSMAN 2676 249 40 6994
TOWNER 317 25 2 830
TRAILL 1493 110 11 2522
WALSH 1333 95 31 3324
WARD 7293 845 134 19974
WELLS 442 32 7 1893
WILLIAMS 2169 362 64 11739
